	好了，哥几个。声音行吗？声音。
	空仓踏空的，咱们之前周三课，每次周三都在说，说如果你是舰长直播的或者充电直播的，如果你要是还在空仓，那说明你就没听明白，对吧？所有老粉都能够见证。但是我要说什么所有空仓的，就是半仓跟满仓的，不要打字，所有空仓的你们就刚才打踏空的，你们觉得踏空了什么来打打出来，就是你们今儿踏空什么了，打打出来来打出来。就是你你们刚才说踏空的，你们打出说今天踏空了什么，打打出来我看看。
	那基本上就不用再看了对吧？踏空了是券商和新前锋所谓就是券商，也就是非银金融？太空的飞行金融。好，我问各位，曼城阵容里边我一直在强调的我们家法则，连续三根阳线是不是给了6.53%根阳线6.5%配置在配置里边有券商，你为什么觉得自己踏空了券商呢？对吗？这是第一个问题。
	第二个问题，所有的券商或者是非银金融，就包括什么新先锋这些东西，你们的买点是什么？如果你们认为今天这根大阳线是你们能赚到的那买点是什么好吗？哥们儿买点是什么？是不是有B1，还是说有长期的资金一直在流入，你凭感觉你就要追进去，你的依据是什么，对吧？发展的走势一直是震荡向上的，对不对？回到了之前涨停的那个高点的位置。所以你发展加仓，那跟我一样，跟我上周一样，我说security我加仓了，那你在那个点位加仓没有问题，那这周三根阳线有问题吗？哥们儿。
	然后如果说是阿信或者说其他的突然增什么国泰君安蹭蹬起来这根，那你凭什么能赚钱呢？人家是一路单边下跌在调整，而且几乎走成大野图了。你买不好蹦极就会变成智慧一样漏下去。那么你的买点是什么？就是你你的依据是什么？你的入场依据是什么？如果说OK今天券商或者非银金融赚到钱的那我问你，你是纯赚的还是仅仅是给你套住的，给你稍微回了点本儿，对吗？
	哥们儿，如果说你们今天是重仓吃到非银金融反弹的，那么你们一定是一路从上面一路套下来的，或者就是在当时之前的这个B一的位置上，你们说再平衡一下成本，平滑下成本，或者是感觉上就要到了。加进去的依据是什么？对吧？所以把这几点想明白，咱们去分门别类去看到底是怎么回事，对吗？所以我说今天所有踏空的所有踏空的，你们说踏空的是券商，也就是非银金融，对吧？那你们的依据是什么？对吧？所以说就今天这个钱很简单，就今天这根阳线，1%而已。
	大盘就今天这一根阳线说是非银金融，你要能赚到钱，只有两种可能。第一种可能就是你上面一路套下来的，你也没有调仓换股，你一路坚持，等着大盘向上，特噗你相信他能回来，这是信仰对吧？所谓长线拿去不动OK，那这个钱你应该赚的那第二种是什么？第二种是下来连续N型结构向下出现第一了你敢干，那你要这个第一敢干的话，你之前的第一也得敢干，对吧？就像很多人在横横上面，在新尖锋上面他解套的，他说AZ勾我是一路B一干下来的那可以今天的钱你也应该能赚到。但如果说你没有任何的信息，或者没有任何的sense，你就在之前所谓的所有的券商或者非银金融，同花顺这些他妈的他的第意味着攻击你，你干进去了，那大概率是巧合。
	哥们儿，所以今天的所谓的你们说这个踏空，我觉得是心态更多的是一种心态，明白吗？哥们儿就是心态。所以说我觉得今天咱们正好赶赶上周三我觉得咱们今天我本来聊的就是这个坑里起好货，我本来想了大概周四周五差不多了，一般机构最后这礼拜没几天了，他妈可能是加大点力度，但是应该讲提前一天启动了，然后启动的还是一个前期对于机构来讲没有充分建仓的板块。只是机构今天买了点，为什么买？是因为前两天的金融的政策。周一的时候还是周二的金融的那个政策，好像周二，金融的那个政策属于临时事件驱动的。
	再强调一遍，就是说如果你是曼城阵容的话。主仓里面是有发展的，发仔也连续三天的阳线没有问题。你去对比一下，整个应该是跟整个券商的指数是差不多的。所以我就不讲他他更多的是一种心态心态。
	所以我刚才前面分析这些，就是说告诉你们什么？就是说有些时候你可以说因为自己的操作或者说认知不够，没赚到钱，这是很正常的。但是不要被市场的气氛这么拢着，这样的话就很难。其实你仔细想一想，今天是什么涨，不就非银金融吗？对吗？那他我我刚才给你们看了，就是说如果你好好的听直播，我净值是创新高的，我净值创新高，为什么创新高？我为什么净值创新高？我为什么净值是创新高的？
	之前创新药做到了，对吧？可控核聚变做到了，新消费的周一周二反弹做到了。那对于我今天来讲，我错过一个非银金融有什么问题吗？对吗？而且说我也没错过我曼城，我今天曼城长，曼城长，你们抢我什么鼠标？所以说下回再抢，今天你还真抢不了。哥们，今天你们抢不了。
	券商不行，固态心疼固态。萱萱是吧？我说就那4个B1，B一轮。
	然后好多朋友后台前两天给我发的，说咱彤彤车是谁？就是一日涨15%那个创新药，对吗？我说找确定性的，找跟娜娜图形一样的找确定性的对吧？那这些不就是说等于说今天是板块轮换了一下，前期的主题票，今天等于说获利回吐。大的非银金融因为前两天的消息刺激，然后往上顶了一下，很多人他就急成这样。不要急，哥们儿你这样赚不到钱，你这不就纯散户了吗？对，纯散户了。
	然后说轩轩的，轩轩咱们后台一样有很多人给我发图片，说我坚持BBI线下两根，这叫什么跌破两根才走，所以这两根是我应该吃的。我说对，没没毛病。那轩轩之前B一的那个位置上对吗？
	弹幕说萱萱没，就算宣萱没避讳，后面这两个没有入场的机会，那就赚不到不很正常吗？你们担心什么呢？你们就今天我就我再说一遍，咱们今天周三正好赶上今天的咱们的这个这叫什么这个充电直播特别好的一点在于什么？就在于我觉得咱们今天就碰到了这个事情，就是全网一下又爆了，对吧，就是一下散户的热情又来了，对吧？一阳就是什么一根大阳线，千军万马来相见，我以为你们是淡定，就1%而已，就大盘就1%而已，没什么。而且对于大盘来讲，上面一样会有指指指数压着下面拖着上面压的道理是一样的。只是这三根让人看到了，有人在做事情就可以了，说踏空什么了吗？
	周一新消费涨，周二我的那个创新15%，就是反正我没感觉到踏空。然后今天说券商涨非银金融，那还有科技一黄一后一黄对吧？那不就没毛病。哥们儿，然后明儿也涨了两天了，大科技也没问题。哥们儿，所以我就不不不了解你们踏空的，是知道到底是是是踏成什么样了，踏踏实实先把心态调整好，你们这样一惊一乍，周日柔还焦虑说，我操伊拉克伊朗怎么办？我打起来了，我跟你们说没事儿，别着急，跟他们咱们没关系，我顶多周一开盘吓唬一下你，对吧？
	然后这个对，别说，因为那个票盘子太小了，我之前我就不敢，但是我是不是周三时候，我说我他妈特别喜欢那个，我说我最喜欢的就是那个，对吧？我都都不敢说了。我现在我只要当案例念到了有疤拉到了。有些朋友因为咱们的这个纪律，然后这个看进去的票后台就给我发现这哥你求你别宣了，或者弹幕说这哥你别宣了。所以我我现在我也我也很很难，咱只能说精确到几个条件，咔咔咔一卡对吧？所以我觉得咱们今天现在是18000人我今天可以，今天这个你们都来了，你们都来了，咱们一定要强调一点，首先你们先摆摆正心态，没踏空什么。
	今天非银金融要么你是一路上面套着套下来的，今天给你绷来来两根，要不然就是你之前一路崩崩崩下跌趋势，你他妈的一直在B一轮B一试，然后这把你试上了，只有这两种可能说你能赚到钱，为什么？因为对于机构来讲，也是在里边前期出完货的机构，这波只是买点。为什么？
	因为那个金融政策，然后再配合周末的大陆跟香港这边联合的这个稳定币的一些政策出来，他们先买点儿，这就是买，就类似于当时的这个发展或者说赛赛那种，就机构今儿买了点儿，所以踏踏实实的别看那什么国国泰君安香港就是那边那个什么国国泰君安国际，拉了一个1%，一百多，你们都我操哥们儿，你这加快他妈1万支票不就那一个吗，对吗？然后今天他获得牌照不就那一个吗？就是你们这什么中国5亿散户都能干进去还是怎么着？踏踏实实的按照咱节奏一步步来就完了。所以像这样的，我先跟大家强调一点什么？就是说别老一惊一乍的，别老一惊一乍的。今天确实是非银金融。
	对，那个我看微博那边还有人追的，还有人问那明天能不能追国泰君安的这种。我这哥们儿就是咱们聊了这一年半，这不白聊了吗？咱这不白聊了吗？哥们儿干嘛呢？怎么又要去追，怎么又要追？能不能踏踏实实的。
	然后再再强调一遍，今天非银金融涨得确实好啊，但是曼城里边有发展对吧？然后我在周末的锦囊里边，第三条我专门说了，我说我还加了点securities。第二，今天科技也涨得好，一黄对吧？咱们不也有吗？所以我就不明白今天这是怎么你们觉得踏空什么了。如果说你认为只要大盘一反弹，或者大盘一上涨，你就应该满仓满容，重仓那一个国泰君安的那那我觉得就算了吧。
	说发仔不行，没劲儿是吗？那哪个有劲儿？哥们儿你那你你干，那你去干，哥们儿你去干，可以吗？哥们儿发仔连续涨了三天了，三连阳回到之前涨停的那个位置上。这你还要不不行，这你还一晃一后，因为以后没涨是吗？我操以后也没跌，问题是也没跟着跌下来。停牌之后涨五点，然后跌了四个点还是五个点，跌过来横着这也没跌，前期也没有下跌。所以哥们儿心态行吗？
	心态就是其实很简单。就现在你们所有人认为说今天踏空的，你们今天没有依据去轮上非银金融的，你们就认为自己踏空的那我觉得后面也很难赚到钱，真的。因为你的依据是什么呢？好几十个板块，五六千支票，你就能轮到那个，你就能轮到第二天叫拉长阳的这种票吗？对吧？然后还有说在白酒躲牛似的白酒，咱们说了无数次了，对吧？
	说了无数次了，我白酒现在整体的仓位是15%，15%，我的青花逐渐的加到了4.1%，剩点剩剩点智慧，然后再加上台子不动，15% 1个跌停的话，我也就是一个净值了。1.5白酒说了无数次了，134季度二如果你要当时做交易性机会，青花的话，205止损对吧？说如果你要是跟着青蛙一路下来，像我一样一路补的话，那就踏踏实实等着就完了。
	至于说今天涨了军工，我军工我也说了无数次了。我说我看不懂军工对吧？我也从来没聊过军工，所以这钱如果说算踏空的话，我在我这不算踏空，我觉得非常正常。因为我我他妈我看不懂，这钱就不该我不该我赚，所以我说就哥几个，就是别一根阳线，好家伙就要就要就就就1%，哥们儿1%而已，现在依然3400多点，踏踏实实的，能不能沉得住气？
	而且咱们之前说的所有的热点，周一新消费反弹，周一周二对吧？然后创新药反弹，还有在网上接着创新高的，有哥们儿买的绒什么是吧？反正就根本就没什么问题，所有的都在，就只是今天有有机构，因为借着昨天整个金融刺激消费的，还有稳定币的这一些时点的新闻，然后往上做了做稍微买了点儿。所以我觉得你们不要被整个的市场的一个气氛上头了，特别是今天我看有人追的券商还特别的骄傲。在微博那边说，今天我追了，就算后面跌了我也认了。
	哥们儿，那咱聊半天不就又不白聊了吗？这哥们儿这不就又白白聊了吗？所以上来我先花一段时间，跟大家先就一定要从认知上先明白说今天到底踏没踏空。
	刚才我说了，今天非银金融涨得特别棒，非银金融带动大盘起了一个点，没有问题，飞行金融下面是科技，飞行金融下面是科技，这两个在曼城里边都有。而且我一直强调说我个人满仓拿去不动。因为我说我不知道高铁什么时候发车，但是我六月份做好思想准备。如果六月份调100个点，200个点下来，或者130个点下来，我有思想准备。但是我之所以不减仓，我之所以永远热泪盈眶，就在于我不知道什么时候更新，他妈高铁就开了，所以我愿意承受这样的回撤。所以对于我来讲，满仓这几天的反弹那也是应得的。
	所以我觉得咱们就在于对祖训，祖训四不原则，祖训四不原则。所以我认为什么？我认为大家一定我都记下来了，我全都记下来了，就是后台发私信的一些主要的问题。所以咱们今天先不往下往往下讲，咱们先解决现在的问题，先解决现在的问题。牛来了，你看你们就是。
	这三天有一定的增量资金，但是远远没有达到说能够开启波澜壮阔行情的那种程度，所以我也没有什么可萱的，就是说什么什么增长进来了，有没有？有，肯定有，但是程度其实跟两个礼拜前那种他炒作局部时候的程度是差不多的。所以说我觉得大家不用抱着那种就觉得又怎么着，624哥们儿完全不是这情况，你这924是什么？是他妈全是涨停，你他妈这62别闹了，踏踏实实的行吗？踏踏实实的别着急。大A你能踏空吗？咱就在我这，你哪个热点没有听到，你哪个热点你错过了，是不是？只有你不敢买，那只有你倒第一不敢买的，没有说咱错过的热点，对吗？
	不就今天一天非银金融涨了点吗？非金融不是说要么你是被套一路套下来的，今天你反弹很高兴对吧？要不然就是你你前几天你鬼使神差，你就喜欢买那种大野图，一路N型不断的下载到B1，你每个B一都买上，那你能抄上没问题，对吧？
	说这两种这这两种情况你赚钱可以没没毛病，但除此之外，你的依据是什么呢？而按照我的交易理念来讲，这波如果是真的的话，如果券商这边如果是真的话，那太阳出来我爬山坡，在这个阶段你没有依据，因为在在过去的在过去的半年多的时间，券商都是这么下来的。或者横住的，但是你注意看发仔是不是横住，有重心是往上的，N型是往上的对吗？
	所以我说我一直拿着发仔，没没毛病。上周我还说我要security，我还加了点，就是接着加。就是感觉到大金融，感觉七月份大金融要来。
	但是人家可能人机构人家6666 6月底人家提前的调仓换股，人家什么提前调了先买一点，那这很正常的，舱里又不是没有。如果说你此时此刻你仓里没有券商。那你何谈让我给你鼠标？哥们儿，那你的曼城在哪儿呢？你的村委会在哪儿呢？那你不就是老是觉得这个板块不涨，我拿出来我要干那个，那板块不涨，我拿出来再干这个，再干这个，那一定是这样吗？对吧？
	所以我就强调配置，哥们儿配置每一次这样的走势，一定要从这个走势当中提炼点一些，提炼出来一些就是我平时讲过的那些重点，好吗？所以我本来我说不给你们看静止曲线了，就是因为如果你们有些人因为操作问题没有赚到钱的，我给你们看那个等于在你们面前吧唧嘴，是吧？什么security是保洁，是谁打的security好吗？自己去看一下券商证券，踏踏实实的。净值创新高净值创新高，这新高谁带来的？一个是满仓拿去整个的指数，一就港股这边恒生指数把我那大科技弄起来的，然后一个是创新药，一个是新消费，一个是可控核聚变。我是知行合一，跟我一样知行合一的朋友后台也有很多，都在给我发私信，我就不给你们单单单独看了，好不好？
	我给你们看这个曲线，告诉你们什么意思。就是曼城再加上短期的主题，然后按照配置策略去做进去，是可以平滑掉整个市场突如其来的很多事情。比如说今天曼城阵容，或者今天曼城阵容里边科技跟券商，然后还有前两天的敏儿一直带着曼城阵容往上走，对吧？
	然后今天有个对冲是什么？是前两天赚的比较好的这个创新药，有获利回吐1.5%，但人之前都涨15%了，人跌了百分1.5。不行吗？所以就会平滑来大的时候，那曼城来大了，那今天赛赛对吧？赛赛一点一点几11.6.7，不记得了。
	大的没来，市场没有增量明显增量资金的时候，人炒炒小的主题，来小的主题，所以我一直在强调，咱们先用第一个，就告诉大家一定要配置。你别听了一耳朵之后崩，重仓满仓轮一个，你这样的风险太大了。如果说你重仓满仓，重点轮一个也可以。但是什么你要走的快别被套，你要走的快，你要循环的，你要转起来，你要转起来。记住这哥们儿说赛太拉了，那下礼拜再看好不好？所以今天你们不要被市场的整个的一个这种气氛。
	就是国泰君安就这一个票拉了2% 200是吧？198拉了200%，就觉得好像牛市就来了什么的，踏踏实实的，每次都是这样，很很正常很正常，又又不是他妈全市场涨停。什么什么都懂了。
	我刚刚说什么了，不是咱不又又懂了别老懂，你们他妈老说懂，每回我也没没见一个人懂。就相当于我之前我为什么说聊创新药，那是因为创新药开始回调了，对吧？你不都第一机会，对不对？辽控核聚变因为准备开始回调了，这不等B一机会，新消费下来等B一机会，对吧？这这就都就是这样的，他的咱们一直在往前走，往前走，战法也都说过了，战法也都教了。那那那还还我还怎么明确up主还能怎么样明确呢？就是有人后台给我发说这个你都喂到胃里了，我我我这不是胃到胃里，哥们儿就是我我我我这我都已经替你吃了，行吗？
	所以我觉得心态心态首先基本上的大盘就反弹，这么这这再再多少，这很正常，很正常。比而且今天是主要是非银金融飞行中，我说了前面你要么是一路套下来的，要不然你之前某一个B一你们灵机一动是吧，就是灵光一现抨击你鼻子弄进去，那那你可以对吧？那那那笼子母子，但是你要始终是这个玩法的话，你之前我创新要在赚钱的时候，或者我这我我这周一、周二、周一到15%那根我在赚钱的时候，我肯我这边赚钱。你看你这么卖的话，你是不是天天也在哥救我，对吗？所以就是一定要有依据，哥们儿要有依据依据。所以一首先调整心态，调整心态就不要觉得今天一根就怎么样，就是后面那种就是怎么讲？
	我今天想到一个，就是当年卡佩罗率领罗马队，第一次就是率领罗马队最后一联赛最后一轮，我这例子已经说过，好好说过好几次了，对吧？这个卡佩罗率领罗马拿意甲冠军的最后一轮比赛，刚进行到70分钟，现场的球迷就都冲进场内了，开始要庆祝夺冠了。给卡佩罗吉的赶紧扒拉球迷，你赶紧上回去。你们罗马人没见过世面，我在AC米兰拿到他妈多少个冠军了，哥们儿别咱们别没见过世面行吗？一两根阳线，昨天是0%点几，今天是1%。画家就不就疯掉了，都疯掉了，不至于大家都往往后看啊，这到后面就这妈的都到3900了，这么后面到4500了，再到6100 6200了，这你们还你们怎么还不得起飞。
	所以踏踏实实的踏踏实实的，就到后面真正大盘走流畅的，天天都是这样，永远在就在BBI线上面飘着。0.4%、0.6、0.1、1.2%、1.0、0.0、0.6、0.8，未来走流上会在BB线上这么飘着，大盘指数就这么飘着。然后你每天就用就用这个补票阵法，每天就他妈WV就他们三个就这么玩的就行，就很很简单。所以别着急，踏踏实实的，现在反而要关注的是你的舱里边的配置。所以咱们今天要聊一下我的新曼城的一个配置跟方向。
	周日因为是咱们大直播，所以我只在锦囊的第三点里边简单的提了一句，我说曼城阵容要调整了，调到哪儿？调到之前前几周讲的创新药新消费，然后还有security就是券商，在在在在在往那个商里面去调。然后我是哪来的钱？是捡的米儿，捡的迪迪，对吧？咱们锦囊里面都有说，咱们今天一会儿把这个曼城阵容咱们再细化一下。
	反正我现在我要红利低波，我是一直有的。这红利低波还用问吗？红红红利低波怎么怎么了。科技黄以后，哥们不怎么有什么问题吗？
	还有问迪迪也减了吗？哥们儿您不看我直播吗？迪迪一个月前我不说就减了吗？我的成本是-2-2两-200多，我还给你们看来的。咱踏踏实实行吗？对新人就先别说话了，新人先稳一手，先别别说话了好吗？踏踏实实。
	红利低波从当时4月7号股灾那天，咱们正式的宣完之后到现在，你是不是踏踏实实一路10%几，是不是一路小屁对吧？非常稳。然后昨天我看看后台那个微博，有人说亏了30%。然后我这么就你这30%怎么亏的？就在当前情况下，你你你满仓满融白酒，你也亏不了30%，这他妈怎么亏了30%呢？那哥们儿ID我忘了，所以就是为什么呢？哥们为什么呢？所以踏踏实实的行吗？踏踏实实的。
	然后今天我本来要讲的是什么？讲的就是坑里起好货。我本来可能按我的一开始觉得节奏，可能是周四、周五，就是六月底。如果说六月的这个最后一周整体看来比较平稳的话，那可能后两天后两个交易日机构应该会集中的换一波。然后等于我上周日只是先打了个底，我说我加了点券商，完了周三细讲，然后结果等于说是人提前启动了一点。但是也没关系，此时此刻如果说是一个大的，说咱们一直等着那个行情的话，就现在还没开始。哥们儿我跟你这么讲，就还没开始，就现在只仅仅是一个躁动。
	所以说完全不要因为这一天的这个走势，而且还是非银金融，非银金融你看了吗？你研究了吗？你了解了吗？你懂吗？你是一路跟踪下来的吗？你是通过什么基本面还是什么什么算法，你算到昨天，你就有有买点，哥们儿没依据，而且仓里边有一直N型向上结构的发展，一直有大不了空。我说大A踏不了空，踏实就完就说你没有，那你要粉丝为什么你没有发仔对吗？哥们儿你的粉丝你为什么有发展？
	为什么我一直讲，我说曼城阵容我拿去不动？同时跟大家再再讲注意主题，我一直最近这一个月一直在讲主题和主线的关系，对吧？市场没有钱的时候炒主题，那就是我刚才说的那些什么固态电池，对吧？咱们之前刚两两周前，上个周日的上一周？应该是多少？就大概两两周前刚讲完固态，固态那会儿应该是有鼻翼，没有鼻翼的话反正就是可以观察的一个点了。那人人固态来早了，对吗？那观察到出现第一该轮就轮。
	但是有些人后台好多在周一在在周二的昨天，后台还一堆人给我发谢谢的。ZGNB, 吃到了萱萱萱，萱萱吃到了宣说，萱萱一直从底下就拿着，从B一就拿着，这就属于听懂了。然后今天非银金融涨，有些人主要踏空了，这踏踏实实的就他妈一天。他很简单，明天随便一个慢城正的随便扒拉出一个崩来来来一根，你立马你又觉得行了。就明天可能抢鼠标人会更多，就来一根你就会觉得行了。
	我操那个我那个我我成了，其实就差那一根儿，明白吗？不用担心。为什么我今天心态很好啊，为什么我现在因为我我昨天一根15%，十五还是十六来着，我忘了，我看一眼，我操，所以我心态很好。我QQ哪儿去了？这哪天来的？
	周一15%，很多人你们也有，对不对？但这票太小了，咱甄选不了。但那票咱们上周三直播，我说我他妈特别喜欢那个，我就喜欢趴在底下那个，我就想趴在底下那个对吧？然后还有拿着绒什么的，还是怎么的，我我我不给你们宣了，一会你们弹幕又又说这个你别宣了，是吧？踏踏实实。
	所以咱们先明确一点，首先反正你认为自己踏空了，去研究一下是哪种情况，是一直没有跟村委会在一起，下肢麻轮的，还是说一直在我聊的之前主题那里边，你一直没有选对票，还是说你这个重仓配了别的你觉得你看好的那些票，你们就总结整理一下，我觉得都没问题。因为现在行情还没来，没来，就这才哪儿到哪儿没见过世面，见过624吗？这见过吗？见过161664到3478吗？这见过吗？没有吧？
	别着急，哥们儿别着急。但是我要承认，我也是第一次见去年的924，所以这个市场总是活到老学到老，别着急，踏踏实实的。而且一个主题出来之后，它不会一天走完。然后大资金一天进去的话，它也不会一天出完。所以别着急，现在就是要先把心态放平好吗？把心态放平，别一根阳线拉起来。人国泰君安他妈全市场有1万支票，就他妈一个票拉了200%呵给你激什么动？你是一直说之前关注这个票，还是怎么着？
	如果说今天泡泡玛特拉了一个15%，如果说今天是泡泡玛特拉了一个15%，我仓里没有我他妈无比懊恼，各位能明白吗？如果说今天泡泡拉了15%，或者蜜雪拉了15%，说我仓里要没有的话，我他妈会懊恼。我疯了。我他妈今天我我不直播了，我出去跑他妈100公里，我直接骑车，他妈骑昌平去，我他妈进骑进山了，我要粉丝，我要出家，对吧？
	不是这情况，哥们儿是你是跟国你是了解国泰君安，还是了解稳定币，你还是说说了了了了了解国泰君安的国际香港国泰君安的业务。哥们儿你是你你是了解哪个？就这钱你就能能赚到吗？凭什么？哥们儿为什么？对吗？所以我要踏踏实实的说今天这踏空，再说一遍，就是非银金融，就是券商跟所有的金那个金融科技对吧？
