	来干不干？
	来看这个图形，勾大幅值对吧？当然这张图它不是大幅值是三点几，但是对它这个票的股性来讲，已经他妈是跌到一个情绪的低点了，对吧？都在这儿干不干，领取音量放量了干不干干不干？
	很多人都说干是吧？我跟你讲这张图的难度在于哪儿？在于当你经历过这样的一个走势之后，顶部来一个这个走势，但是没有放天亮，看见没有？但是嘣就来根跌停了，几乎跌停了。然后又连续123，就这么三根儿上影线，1233根上影线，同时下面放量，连续两根放量。看见没有？很难受，干不干？
	别听我忽悠，一会儿我你们自己看都干过，一忽悠就不干了，自己先选一个答案，选一个答案，这块明显是有人在出货，非常明显，你们自己定好答案，这个位置这是干不干？要是一般老师给你讲课的时候，就会让你故意引导你犯错，但是我没有，我先把话题先说前头。这个位置勾的大幅值，但是股价没有往下暴跌。咱们当时说什么来着？当时咱们说什么来着？当价格没有出现连续下跌，而指标快速往下到大赋值的时候。
	这个是什么？
	洗盘对吧？说出货的你们他妈听好好听，没听，记住不要觉得高。没没有没有，就是做票没有高跟低之分，只跟每笔交易有关，就是股价没怎么下跌，但是指标快速下跌了，这叫什么？这叫洗盘。所有说洗盘的给你个赞，真牛逼。你们可以有，就算属于班里边有悟性的，肯定是要干的，肯定是要干。
	为什么？因为首先你要干的话，一个是刚才说的这只明显的洗盘，你一定要记住连续下跌不要看量。连续的股价没有怎么下跌的时候，底下是钩的大幅值了，非常明显干净的干净的。然后把把最低价这个位置，前低的这个位置8.9块设成一个止损位，你可以往下多点88 8.88块。比如说你开心点8.88块，或者8.8块，这位置设一个止损都可以。
	无所谓，干净了走，我操7.73，然后就来了，他说我操那颗4分之3阴量线，4分之1量线。我跟你讲，四川阴阳线不是在持股期间算的，它是来判断前面这根线能不能买的。如果这块你已经B一进来了，你这是要等等，等着这个现在是看什么？看上面两根你就要放飞了，对不对呦，我操，又来一根，看到没有？又来一根，两根能不能卖卖一半买一半。尤其是你要身临其境的时候，你会觉得下面一个指标背离，一个是又到了前期的这个上影线的这这个点。
	但是你要注意前期上影线，这个是底下是无量的，无量的就是这上限很假。它不是天量，天亮需要好几根，所以在在看白线了，看白线剩走完一半看白线，前高新高，看白线，白线因为现在已经半仓，半仓就看白线，走白线，白线就这图形后面我已经记不清了，我这个我就按时间选的走白线这天破了吗？这天白线是13.5块，收盘价是13.49块，算算算破了，破了第一根，破了第二根走人，12.97块，你的成本是9.16块12.97块。发财了，你看走走的还走的还可以是吧？
	然后这就是到了新的了，还是新的一道题，新题来了，点取回调了以后，在这你你你是这儿走的崩又走成这样了。买不买干不干问大家干不干，这他妈这道题做三遍了，肯定是干，对不对？干的话把底下止损设在一个12块04，如果你要是第二天买进去的话，你就设在第二天的最低价。比如你第二天买是这天设在最低价在这儿11.6块，61.5块，设的11.5块，说11.5块。
	又来了，你这两根放飞一半，后面给你拿又来了，来了，没有机会走，没有机会走，没有机会。我操还走还不走吗？还不走吗？这第一根，第二个走就走了。但是还是那句话，你就半仓了，你看底下是不是又大幅值了，负七点多，是不是要负七点多？
	我跟你讲，这是一个一个新的知识点，就是这儿可以合并同类项。什么叫合并同类项呢？就是说因为后面走势我我我不记得了。
	合并同类项是什么？是在于当你底下出现两根阴线跌破BBI的时候，同时你记住你有浮盈1D条件一有浮盈，大幅浮盈。第二两根K线跌破B变往下找KDJ，KDJ的勾。如果是大负值了，大赋值了，那就把大赋值的这一根K线的最低点往下3到5个价位，或者往下跌个3%到2%，22到3无所谓。看你的设一个止损位，22.55块就咱说这22.55块，你就算这天加仓也行。如果你要加100的话，一样这个仓位的止损点是22.55块。但是因为合并同类项了，所以说这个仓位跟之前仓位一起的止损点是22.55块。
	比如说设个22.6块然后走到这天是20，还没有没有没有跌破，止损点是在这儿，22.6块在这个位置，走，没有到这儿，22.9块还没到22.6块走。但是记住，走到这儿，咱们先不往后看啊，不往后看啊，不往后看当市场没有证明你的对手就错了。在这个点的时候，其实已经就这点，这儿它不已经上穿B拜线了吗？这天同时B拜线走平转震荡了，比如上涨转震荡了，上涨转震荡很有可能要转下跌，也有可能是只是反正是震荡之后上涨震荡震震荡下跌。刚才说了趋势来讲的话，这块有可能要注意了，要注意之后什么跌破两天一二撤了就完了。
	测完了说后面你再往下去看，下面沟没有到大幅值是吧？你说哥们儿我还还我还轮到我跟他死磕，哥们儿就跟他干到底了。那行，那再找等沟的大幅值，没有对吧？那就没了你看后面就没了，那就没了就没了。所以最后一个一波大的趋势后面就没了，后面一个大的就做你能吃吗？
	一个趋势到最后一定是止损的，这个属于还属于善良的庄家没有让你这会儿止损，而是按照咱们少妇战法，这一天就止损了。等于说止损的情况下，其实对，就咱们成本是24.28块，22.94块就走了。但是前面已经能已经赚到。巧了，如果这边给你根大的，你也要接受，因为你已经从底下八块他妈拿到31了。OK，这是这道题，然后咱们再来一道题。
	比如这个来来干不干，干还是不干？
	你们说干，为什么为什么，说说理由，为什么干？
	首先这是一个很明显的震荡区间，对吧？而且看起来像是一个下跌趋势的震荡的区间。为什么它的高点在这儿？它的高点在上面，很明显这是一个下跌趋势，但里边的横盘震荡区间，下跌趋势横盘震荡区间属于什么图？属于大爷土哥们儿属于大爷土。刚才那根是刚才那。
	张图是明显。
	的一波连续的上涨趋势里边的回调。在这个位置，重心在这个位置，这是高点在这儿，高点在这儿去，这是一个下跌趋势里边的一个明显的震荡图形，震荡图形的勾的大幅值。能干嘛？能不能？原则上能，但是这是不能干的对吧？
	你说你哥们儿就要干干，跟他死磕了，哥们儿干了，那干的话，你的止损点设在哪儿？你第一止损点是前低的这个位置，你比如说你放在4.91块，第二止损点就是4.75块，下面你放在4.7块，对吧？然后说干那就干，咱们试试干干一把。来，这天没有破，我放大一点，这天没有破，对不对？这天起来了，又觉得你成了是吧？觉得你成了，但是盘中再到4万毛7，你也很害怕的。乳房上两根阳线了，我成了来来来把鼠标给我，我要来，行，我把鼠标给你攻击擦一根6%，6%，其实已经破了这儿的止损了，你要纠结了，你要到前面去找前面的低点了，对吧？
	你走走到一半儿，因为你他妈是BBI线上两根阳线才走一半，但是你们说走一半，反正就是敏感少妇策略，就不是加强版的。你说这么说，但是你没法，你这个位置不符合纪律。少妇交易策略里边，咱们的VD加强版里边没有BY线的，BY线下面两根阳线走一半，没有这个策略。你要走的话，你就不遵守纪律了，对不对？
	你要杀到这儿了，你就把你你就只能看前面4.7块了，对不对？4.7块靠靠前低了，我操，直接把杀到这了，熄火，往下走。哎呦呵，你看比如现在这个到这儿已经他妈凉凉了，已经凉凉了。所以这样干的话也没关系，这框架你就这块止损，你这个4.69块，4.6块这块你要4.7块还是4.6块这块你要止损，一定要止损。
	所以说这张图一般来讲，遇到这种图，遇到这种图不干，记住不干。因为它就是一个下跌趋势里边的一个横盘震荡。横盘震荡你要干的话，你无非是做一个从下到上，就是属于交易性机会。交性机会的话，那你你就要做好一做好止损，二做好大野图破位的风险准备。就干可以，没问题，宝贝儿没问题。你就干完之后，你看你就就你就这根儿你就要接受吗？你叫接受吗？对吧？
	所以这图一般不干，要干的话把这个止损设好，你这位置你也就亏这么一点。但是上去以后的话，比如这位置6.17块，这位置是4.95块，这位置上这位置是6.17块，你就自己盘就行了，这盘盘就行了。我操等会儿。
	告诉我这张图干不干。这张图干不干？
	干是吧对吧？这是不是饭？跟第一张图差不多，就是一波8立柜起来之后，这明显是一个上涨趋势里边的横盘震荡区间之内的上涨趋势，对不对？跌跌跌跌跌对吧？这高点也比这个高点高，所以说前面有这个先不要管它，对吧？就看就堵它一个上涨趋势里边的中继，然后往上走，对不对？干是吧？
	OK干，那咱再看一看，干的话你的止损就很难设。比如说你第二天干，就第二天的那根儿最低点，如果你要这根干，就你就这根最低点没关系，但是它有好多低点，但是你要找它这个图低点低点标志性的低点，对吧？包括金毛六这个低点，所以你就要至少放在这个低点了，N型的这个低点有点高。那比如说10.5块，10.5块，这位置10.5块，你是11.45块买的，你要搏他妈往上新高，对不对？来。
	第二天没问题，第三天、第四天、第五天，第六站上BBI，站上BBI之后的两根儿，这根才2.69，这根可以不算。下来了，小心，明天不能再阴线了，再阴线就要卖一半不在阴线就要走。这儿你就要走了，这你就要走了，少妇这样打你就要走了。走完之后你就赚了，这一小波问题不大。走完之后你说咱看看后面是什么情况，跌一根要登下一根了。你就你觉得我操这个完了，他踏空了，然后又起来了，我操3.14，这两根下来是你是要清掉的，加上BY线再往下来你是要清掉的。熄火，你觉得我操磊哥完了踏空了，好难受，好煎熬好煎熬，好煎熬，还煎熬吗？对吧？
	你后面会越来越煎熬，所以就不要恋战。就是牛逼的趋势性出来的票，它不会中间怎么还在这个位置，就给你整两根，这乱七八糟的，不会，该走就走，这块是不是心态问题？后面不要看了，因为在这个位置还会有其他的新的标的出来。这不算被洗走，这其实这不算被走，因为你事后来看你事来你事后看啊，你事后来看这是个反弹，看到了吗？
	等于说是上涨趋势转成横盘震荡区间之后，有两种思路，一种是接着突破，接着座位，接着5，一种是向下就破位了，破位了。所以说每一个上涨趋势变成横盘趋势之后的最后一次，你总是会要止损的。所以说你没有止损，你不需要止损，你主动就要善庄。哥们儿这叫扇装，他没给你后面那杀一这根走，或者杀一这根破位走，没有，所以记住遵守纪律大概率是问题不大的。先把你的这个小命儿拿到，然后咱们来我再给你们看一道题。在这周就得就不断的实战。哥们儿就是实战，没有别的，就得不断的反复练习，没有捷径。在家没事就八图看，就扒着看啊。
	止损看下阳线，而卡尔收盘价所有的决策都是基于当天的收盘价，来我问各位干不干这张图干不干这张图干不干？
	不敢是吗？但绝对是说干，对吧？来咱们看看，首先判断一下这他妈一波流。第一个低点在这儿，第二个低点在这儿，第三个低点在这儿，对吧？一波流，首先确定一下，这是一个日线级别的上升趋势，对吧？上升趋势第一次像样的回撤，同时阴线没有放量对吧？同时给了你一个勾到大负值的一个他妈的非常好的机会，大负值-7.3。
	我跟各位讲，这是我们当年世通能夺冠的一个最核心的标的，这是天赐就天天赐之良机，没有比这个更完美的了。当时我们就是属于常总说发财了发财了，发财了就是这张图。所以你们一定要把这张图背下来，就是当出现这种完美图形的时候，做错也要做，做错也要做。你们每天就去找到这个图形的时候，记住做错也要做。后面一定会有这种图形的，一定会有，做错也要做。
	咱们看一下，咱们买断买牛肉，第一止损位肯定是设在这个的低点下面，比如6.4块。但是你的我建议你心脏大一点，因为钱低就在这儿不远。他但凡洗个盘，设在这儿，设在6.2块，把止损设在6.2块，这天买进去或者第二天买都行，开团买都行。来走，先来了一根6%，迅速脱离成本区，同时站上BBI线，往后面就要去看你把这根算低根也可以，因为毕竟6%，但是一般来讲穿的不算，你算也可以，当时算也可以，没问题。
	第二天来一个这个，你他妈有点慌，对吧？但是咱们有少妇战法，对不对？咱们有少妇战法有点放量了。如果你要没有少妇战法的话，你就会认为完了双头了，底下还背离，吓死了，走了。但是咱们要现在看什么，一先看B白线上面的两根阳线，二看什么看BY线。来走，没事对吧？没事，BY线往上对不对？
	我操，来特步，让当前是挡您不，但是还没有破前高，你有点慌，一根涨停再加上这儿，你原则上你走一半也可以，没有问题，但是这根没有理由去走。总之这种走势你就算它的第一根就无所谓，你卖一半也可以无所谓。再说一遍，赚钱走都不臭。但是原则上来讲的话，这根线非常厉害，就是线上它的波动率来讲，这算第一根。
	要是我的话，我会认为他第二天顺势高开往上窜一下，出货完成一个完美的双顶，那种情况下我会减仓一半。但是当年走成这样，因为他很早就封涨停，我我我就不往里切，往切日线，那么这张图就没了。走。
	第二天高开。
	涨停，对于大部分人来讲，这天卖一半不臭，不臭，记住卖一半不臭。然后现在就半仓了，对吧？办张照干嘛？看看白线，看。
	白线走。
	就我出来放放巨量走这个。但是你已经有25%的一个浮盈，并且你成本已经从6.5块变到了3.25块。你他妈成本在这个位置还要低，你不用着急，你说这儿你走了，走了就走了，谁也别就是做完一个决策不让我去后悔，走了就走了，转着转，赚了走。但是你这块儿已经走当前天走一半了，你这招个蛋急，对不对？就盯白线跟人家死磕，就是想赚大钱就盯白线跟他死磕。来我操阳包阴来了，而且关键是得缩量缩半量。阳包阴最强线。当年真的是运气好，赶上一个这个就它完美符合所有的技术性的走势，缩半量本身就很好了，同时又他妈阳包阴，我操主力完全高空走，当天涨停板开在接近涨停板开盘，走看白线走到这儿，放巨量又走成这样了。
	我说了，你这儿走了也可以，不走也无所谓，反正你就看你的心脏大小了吗？来接着来，有点乏力了对吧？有点乏力了，往下八到这儿了，注意白线，丁白线。我再勉强又挣扎了一下，又到这儿了，还在挣扎，往上再接着又再挑了一下，又再挑一下。这不是大风车，这根不是大风车，这他妈这是一个下长下影线，这不叫大风车，你们别动不动就大风车。如果这个实体是在中间的位置，上下有个螺旋桨，这叫大风车，这不叫大风车，还要走，按道理来讲，你已经翻番了，其实差不多就行了，但是无所谓。
	大家死死磕，看白线，走创新高，14.68块，跌停非常吓人的，跌跌停跌停了，又来一个，又来一个定白线，白线走平了，注意白线走平了。同时这天白线是12.31块，收盘价是12.29块。那跌破第一天，来重新算跌，跌破第一天，现在就等于说重新算清零了，走走一根跌破第一天，跌破第二天卖。比如这波，你就是他妈的等于说就是一会儿开心，一会儿不开心。但是你这个完美的这个位置的离场的价格是11.82块，你的入场的价格是六块。我翻翻，当你考虑到这根开始你是半仓，那这一波你大概的收益应该是40%左右，40%也可以了。
	对，咱接着来，咱接着来，接着来，两根合并同类项对吧？你们提醒我没问题，我操你们太贪了，我操你们太贪了。行了，我跟着你们来，我操你们太贪了，都这样了，还要是吗？
	来来来来来来那个来来来，那就这俩合并同类项，底下勾到大负值了吗？到了负三点几，到4，到这OK好啊，这儿你说你要加仓对吗？论下的是吧？加仓，那止损点就设在这个10.85块，好不好？10.85块干加拿，你说你不走对吧？合并同类项你还加了把仓，我操你这可以，来，你们造行行，你勇敢者先行。中国人过马路不看灯，勇敢者先行。来走。熄火，满仓持续跌停，看到没有然后同时破了。
	这这个如果你要当天买的话，这天买的话，那那你就是你第二天，你第一天买的，这根下面就破费，你就要卖，再来一根15%，你肯定要止损出来了。他说操，大哥不信了，跟他拼了，现在还是勾的大拇指，我他妈还加仓，我还加仓。哥们儿一，你太贪了，妈你太贪了。就是一般来讲一波大概能明显走完的情况下，转世做一次漏了就不管了，因为他肯定是转成震荡了，你就不管了，就是没有再做第二次的，咱们正好出这个案例的，咱们强调一下，不要做做第二次了。你他妈搏一把就行了，这位置搏一把就行了，你说这个位置你要再搏没有必要了，没有必要了，再搏就没有必要了，好吧，因为你这位置已经BBI线连续再往往下走了。那虽然说这你前面涨幅太高了，你这就不要碰了啊不要碰了，后面就他妈的没什么意思，后面跟你没有关系了，没有关系了。
	行，这是一个案例，再给你们看一个。
	来干不干？
	干不干？
	比如说今天全是好图，刚才有有几个臭图。我为什么让你们记住这种图？是因为除了这些图之外，这种图之外就不要碰了，胜率非常低就不要碰了，一定要记住，就不要碰了，就这样给你们加强对正确图形的认知。
	干不干？我问问你们干不干？干是吗？我想跟你们讲一下这个背景，我给你们讲下这背景，当时是这一个刚上市的新股，然后走几天就变成次次新股，我们是在这个区域一直在买，往那儿走。然后这天他妈徐翔来了，这天徐翔来了，菊香在这个位置它来了，然后我们洗了它三天，接着往上蹬，但后面大盘就下来了，在这儿这根跌停不好意思在下砸的，因为我们控制净值回撤，这天是我我是我砸的，我们得止损出来，这天就是这天是我砸出来的，然后到这儿等于说你们刚才说干的，就是抄我的底，抄我的底来看你们能不能抄到我的底。因为我们在这边如果正常的话，我们前面有福音，我们不会干。但是我们当时的其他产品就是就这这个其他仓位，这个产品其他仓位的回撤比较大，快到我们八毛的清盘线了，所以我们需要赶紧的清出来。所以大家你们来你们你们抄个底，抄个底。
	今天勾大幅值-7.4，我们所有人都知道这天应该是干的。因为连续上涨趋势里边的就是往下要转正了，转正它可能还会往上回弹一下，我们不应该卖，但是没有办法。你捡我带血筹码，来这设好止损好不好？止损设在19.5块，你第二天这儿开盘买进去，当天是这儿，你要说这儿止损了，这根你就走了。往下一看，勾还在大幅值。然后你这天买的话，你勾大幅值，你可以等把把再往往下放，无所谓，看你的碗大碗小，这天你那天你都行，反正就是一根自己设好，设好止损就出一根。然后你看他妈的其他的那那帮那帮那帮鳄鱼，把我们筹码捡走之后，亚特马马上拉出他的成本区，一天一根8.44，8.44，然后。
	走走。
	没有破对吧？以及这块止损没有破。这都叫震荡。
	震荡一直没有。
	上BK线，对吧？所以都是以这个位置来设止损。擦8.16登进来，第一根记住8.16，而且几乎都是在白线之上，这就算第一根了，这算第一根了。走成这样，你说你卖一半没问题，但是一般两根阳线，但是你卖一半没问题。这块又来一根，这根阳线你肯定要卖一半了，因为到前高了你卖一半，你应该剩半仓，就你这根不卖一半，因为这是第一根，后面没有等待第二根阳线，这是第二根阳线对吧？要是八点几卖一半，现在是半仓，对不对？
	操涨停，操他妈的涨停，然后你就拿着看白线，白线出现这根，这不是大风车，但是放巨量，实际上这个你也是可以看白线，接着看白线。白线走平了，走平了还没有？没有跌破，没有跌破，操又一根fuck。然后这个其实要按照后面咱们未来会聊到的暴力K线，我资金战法的暴力K线，这根是很强的。我操，不好意思，弄没了，弄没了，不好意思，我给大家再弄一下，划了就划了一下键盘操，划了一下键盘。
	来，还是这个来，接着来。然后这咱们以后会聊到，因为器型有点大了是吗？因为它是属于益阳穿这么多线，这是非常牛逼的一个线，而且底下是死死叉多，这是一个可以追的图形。后面看4分之3音量线，正常量看似是4分之1阳线，你现在是半仓对不对？第二天走一这个4分之3阳量看到了吗？是不是接近这个位置，这是阳量没问题。持股拿着又挑一高挑一个30 31.6块。看白线下来了，走平，这么墨迹，很很墨迹。跌破第一根，跌破第二根，离场离场，离场。所以咱们先解决第一个问题，就是等于说你在这抄底的19.41块，最终离场，第六步完成是在27.5块这天离场。
	然后咱说说4分之1量线的问题，这不是4分之1量线，但是咱后来又给他扩充一下一下知识就在于4分之3就很烦，这种线是很烦的，这种线很烦，你就有个认知就行了。这根线很烦的话，走出四分线你就在你说你这位置能不能进？能进，记住这位置能进。它不是音，它不是最差的，是4分之1两线。这种线4分之3走完的这种阳线是是是中性偏好，中性偏好。那你要这根筋的话，止损就设在这根下面，只出这一根，永远记住要带着套，所以这根你就评出来了，你就平。如果说你做的这个突破是B2了，你做的突破的话，你这边就评出来了，就不跟他耗了。你实际上你不跟他耗，你也是没问题的，这就是这意思。然后来咱们再来道题。
	来这张图，我是因为因为这是次新股，前面这个走势我要说的话，后面就答案就露出来了。但是我跟大家说一下，底下是从这儿起来的，从这个位置起来的，这个位置往上走，然后在这个区间进行一个震荡，干还是不干？干不干？勾到大拇指。
	干不干？你们说干是吧？首先这是一个上涨趋势里边的一个区间震荡，它是标准的震荡。因为高点不过高点，低点也不过低点，所以它是一个标准的震荡。在这个震荡里面你就要算一下性价比了，对吧？这位置如果要没有勾到大幅值的话，这位置很难受。因为往上到这么高，往下实际上一比一不太划算。但是注意它勾到12块，说在12块这位置，干干啥的，我操干的当天一根涨0Z军B了是吧？
	暂停，然后往上走，盯住什么？盯住两根阳线，现在是一根两根，到前高了卖一半，卖一半，卖一半之后看白线，白线没问题，但是白线往下拐第一天，这第二天原则上你就可以拍掉了，你就可以拍拍掉了，拍掉。然后拍掉以后，说后面再怎么着，那就后面再说了。
	在位置很难受，结果把一根拖扑了。拖扑以后你不要去管了，因为这天你已经走了，你已经换别的标的了。但是你要是比如这天把它选出来，这未来就一阳穿这么多线，然后同时突破前期的高点。咱们比如把它算B2，B2后面看什么？看4分之3，看4分之3，结果走了4分之3。所以就算这天要突破了，后面就不干。等于这种就属于不完美，这种做票只做完美的，不完美的踏空就踏空了，那只做完美的。来，咱们。
	再来。
	一题，总共咱们有十个，咱们十道题，这是第几道？第六道了吧？第六道题了。
	来，这道题有难度。第八题了是吗？这是第第几题了第几题了？全错的销户。来来这道题跟你讲这道题非常的有难度。来第八题了是吧？这第八题，来第八题，干还是不干？这是什么图？你们先说这是个什么图，这是个什么图形？去拿个水。
	这是个什么图？这是个大爷图对不对？连续下跌趋势之后的那什么，连续下跌之后的一个震荡对吧？然后这块你要注意观察细节，90天就下跌之后的一个震荡，到这儿勾到大幅值了，对不对？干还是不干？干不干？就是一张图拿到手。先看。
	这个震荡是。
	什么时候震荡，低点高点低点高点低点高点低点，1233个低点是这样的。高点这块是下来了，但是低点在抬高。原则上这张咱们知道这是大野图，对不对？那大野图很有可能你他妈这干进之后，光机给你来一根大破位往下杀下来了，对吧？人家就给你个大破位就杀下来了。所以说这张图原则上咱们说了歹徒不碰。但是说如果说在这个阶段在这个阶段的很多图都是这种图形，比如说或者说实在没有其他的标的了，你看这说这儿底背离对不对？标准底背离并不是那种他还不是完美的，就是足够完美的。
	大野图底背离。
	同时低点确实这块至少这么看的，还在抬高的，我觉得可以博一下，可以搏一下。因为你自己心里知道他这个要破位，所以你就有心理安排。但是你就可以在他在这个位置，因为这就除权了也不知道他当时多少钱的价格，反正这个位置大概差了点差了点。干也就干了，你说你不干，不干就不干也没关系，就是永远记住永远不可能完美。
	一般职业的交易员，尤其是做比如玩少腹胀这种，或者是相对中短线的，就短短特别短线，十次里边错七次是很正常的，很正常的。所以比如咱说搏一把，咱们试试，咱们试试看看能不能搏他个虎虎生风，能不能搏他个一日千里，咱们去看看。走买完了，当天买完最低价设止损，最低价他妈很烦在这个位置。但是你会发现，放量起来一根，我操低点要高，你就很有信心了，很有很有信心了。然后。
	走走。
	注意这根是上去的BBI线了，这是第一天跌破，第二天又起来了，重新算又操涨零张宁。然后往上走，你这天卖一半是可以的。走走走。看看白线，你现在半仓，走走着，跌破白线，第一天跌破线，第二天走了。所以你的收益就是这个位置，到这个位置作为一次交易来讲也比较完美。但是说如果说你踏空了。是正常的，很正常。因为这个位置，咱们往后接着说吧。
	来来来，你说大空以后，你就肯定你会关注它了，能不能干？不能，因为没到大幅值，没到，9.54也没到。也没有给什么第二次的机会，看看下面有没有勾到大拇指，16 12负。来来来，这天干不干，这天干不干，从这个位置。你这天走了，这天一个跌停干不干？跌破平均线红线。对，红线也算，就都是收盘价，记住收盘价干不干。富贵险中求是吗？你们是想富贵险险中求吗？
	我跟你讲，这个图跟刚才图有个什么变化？虽然说上涨趋势里边的横盘震荡，但是压已经破位了，我就不干了。因为我忘了后面怎么走的了，我忘了我案例只弄到这儿，我忘了后面怎么走了。但是你看高点连续连连续一下，这低点仍在抬高。这位置实际上是一个横盘震荡，它已经从上涨趋势转横盘震荡之后又变成一个破倍，相当于变成下跌趋势了。我忘了后面怎么走，但是这个我肯定不干。
	记住这种图形绝对不干，绝对不后面就算涨了也不干，你看后面要涨了也不干，这他妈是一个非常，因为要破位了，你知道吧？它这个钩是破位下来的。如果说这一天，比如这天是个勾的大幅值，他离这儿比较近，也没有破位。那可以考虑参与一手，参与手，那你后面也是止损止出来的。记住这种图形最终一定是有，最后一次一定是错的，最后一次一定是错的。OK这是一个案例，再给你们看，再看一个案例。
	这道题你们要是对了的话，我觉得基本上你们可以毕业了。很难这道题特别难，我只想说这道题特别难。看看你们的成果了，来这张图干不干？
	感谢飞哥，我已经做了两个少妇战法了。那你挺有效率你渣男，可以，记住做股票就是要当渣男啊不要跟股票有感情，千万不要跟股票谈恋爱，否则的话他会榨干你身上所有的血。不要跟股票谈恋爱，这干不干？这是最后一道，这是毕业题这是毕业题，这是毕业题，这干不干？
	首先咱们判断一下，中线来看是下跌趋势的横盘震荡。但是你拿短线来看的话，低点低点高点高点抬高，低点低点抬高。现在是下跌趋势转成横盘震荡之后，往上有一个重心抬高的过程，但是整体还是一个横盘，横盘的高点可能在这个位置18.82块，低点在16.64块。但是看这个明显的这个位置是背离的对吧？底背离往这往上走，注意核心点，这要调的比较综合，比较综合。
	它是一个什么图形呢？你看股价没怎么下跌，对吧？最高股价在这儿，股价没怎么下跌，但是高完成了一个大幅的回调，对他来讲这个位置就已经算大幅值了。因为你看它的历史上，把这个位置勾了一幅值明显的一个叫什么叫洗盘。你们都会了，太棒了，太棒了，你们都会了，就是不是真的在卖？只要这个价格能横在这个位置，没怎么大幅下跌的时候，它的钩到大幅值了，这个就叫做洗盘，算完美图形。所以这个点18.51块的下面，比如18.48块这位置，或者再大点，18.5块，设一个止损，跟他拼了，跟他拼了干进去OK这天干你可以，如果你这天干的话，下面这设止损，你这天干一样，也是下面前低这块设止损。
	that. 
	这是站上必败线的第一根中阳线。不算，这是咱们2.14，这不算中阳线，2.14，我操什么情况对吧？什么情况起飞第一根中阳线，你把它放飞也行，但是不放飞也可以。因为这是第一个，你说你放飞一半就就放飞一半了，好吧，然后走就就就走就看看看白线，接着往下走，看我操又一根，这你减仓一半没毛病，一点毛病没有。两根你减仓，你这天减仓一半也可以，你这天减仓一半也可以，无所谓，赚钱走都不臭，记住只要赚钱走都不臭，不要抱怨没有完美的，没有就就是有完美的图形，完美的走势，但是没有完美的交易，你记住。
