	Hello哥几个。声音行吗？声音。
	知道我为什么放这首歌吗？啊，没故事就是纯骚是吗？知道我为什么放这首歌吗？
	不是洗盘，咱们今天不存在洗盘。
	因为最近整个这六月份，其实从五月份开始，就是一个打野时间。
	算了，这种品味你们接受不了的话，给你们来个有点品位的好不好？给你们提供点品味。
	这行吗？不如刚才的说这个好高雅。舒服了，想睡了，天籁之音。
	深杭优秀员工李好好Z哥提前40分钟开播，泪目了。你这阴阳怪气这么心系学生，老师是我见过最好的一届老师。你这让我说的也无话可说。苦处Z哥晚上好，今晚我喜欢的女生约我看电影，但我为了看这个讲课拒绝了我做的对吗？你看你你不如你不如一步到位。你说今天晚上你喜欢的女生约你链接，然后你拒绝了行不行？苦处就是既然要吹牛逼就打开格局。切肤蜂鸟说感谢师傅，5s blue说ZGNB手上一只上涨趋势的票，开盘快跌停，尾盘快红了收一根很长下影线，是洗盘吗？哥们儿，你这也太骚了，你这个就我我也关键我也不知道是什么，所以我也没法给你评价他是是是是是怎么回事。
	比利小了个弦，说感恩Z师混脸熟用少妇战法。今年5月第一次盈利，继续努力学习，早日回本，再争取赚钱。对，慢慢来，看看静止曲线说ZGB，然后仅此的欢乐说打打卡上课，重要时刻不能缺席。感谢不放弃我这个差生，咱们不抛弃不放弃。还有玉米啪啪说这个那哥晚上好，按您之前的指示妥善处理完家务事，非常感谢。人生重准备重启，一路小屁走向胜利。好，可爱的小番茄说那哥跟您学到很多，最多的是那句就算了，现在事业感情动不动就算了，这样对吗？令白羊座容易陷入感情，白羊座是很容易陷入感情的，进出都很快。
	然后你你你你哥们儿你也别动不动就算了，行吗？也别动不动就算了，风吹哪页读哪页，但不意味着什么都不在乎了，好吧。成道Z哥越看越有魅力，有没有兄弟能能推荐跟Z哥很像的男主角的小片儿坤给他拉拉黑十分钟，反正咱们现在十分钟还聊不到正题顾雪城那哥好，继续混脸熟。
	求问周线勾到大幅值和深V底同时出现是重仓缩的信号吗？没有任何概率能够显示说这俩达到了共振就可以重仓。没有，然后3000块钱闯深圳那个93年的九年淘宝女装运营将离开八年的公司。以后去大企业还是小企业？你这个岁数去大企业还去得了吗？对吧？如果你要是能能去大企业，还是尽量去大企业。就是不稳的时候肯定是大船更稳，社会不稳的时候。
	小喇叭大只讲说ZJBZ哥他真的不一样。大爱Z哥，祝各位Z词步步高升，一路长虹。混个脸说好神马范说Z哥今天特别帅，我一直男都心动了。哥们儿你真会说话。今天就稍微因为我没打我上面大灯，所以全靠镜头的加持，所以显得今天有点仅此而已，卡拉是条好汉，续建感谢，还有好运的这个20250601续建感谢。然后哥们儿别再发SC了，我现在煮茶，所以我趁煮茶这15分钟，我把SC快速过一下，一会儿咱们就正式开聊。
	别着急，布朗胖虎说我是土木工程应届硕士，去年听从您建议参加考公，现已经上岸，特来报喜。Z金币可以，哥们儿执行力很强，加油，变脸了说说那哥，您上周那个公式怎么都测试不过通达信？你把右上角改成主图，那个是叠加主图，不是这个副图，它默认是副图，你给牒变成主图就过了。MM名号祝Z哥晚上好看。Z哥很久了也不咋说话，就拿个小本记好前排混个脸熟，祝Z盘早日上市。好，踏踏实实。哥们儿，你这字我一直不认识，刚好铿铿铿锵锵好是是吗？还坑坑好枪枪。
	一支票盈利后已减到0成本，选择放着不动，等历史大顶还是继续操作，比如等粥比1加一些，票跟票不一样的，如果已经快速都一直快速往上登了，你减完那就别加了，就等哪天跌破BY线就算了，就按纪律做。云川云松川瑠一个票经常日内突然拉起来3到5，然后就放了，这是在干什么？就是可能有两种可能，如果是已经拉起来不少了，那有可能就是在诱多出货。他每蹬起来3到5个点，然后慢慢的回落，你只要有人跟慢慢慢下来。如果要是在底部，底部没有拉升过，技术是先下来了。在底部那有可能是这个横盘期间有没实力不是那么强的资金一直在介入。
	月月宝宝宝说Z哥帅，今天台子能入吗？整整箱都下2000了。多谢。另外明日月真是坚挺。对，明利月因为本身就小众，本来就没多少市场，所以它降不降价其实意义不大，你知道吗？就是明明月他卖卖900和跟卖600就喝的人都是那一拨人，因为他就在安徽本省。
	台子我是这两天接着入了，我买不到你们的价格，你们怎么怎么买的那么1900，我这永远就是2100 2200。但是我昨天晚上跟今天分别买了两箱，就是拿两个账号买的，其中一个是这个，其中一个是这个。12719 12719买的。然后今天这两个是12030买的。反正我觉得它只要往下跌，就接着轮就完了。所以我是这个茅台跟泡泡茅台一起说，拿坤的账号看看价格是吗？OK. 
	呃。
	十一二点，说Z哥晚上好，有问题向您请教。小薇给您留言了，念到我再顶上来。行，哥们你现在顶上来，就是你你把你这个ID写前面，风雨不动安如山，说ZGNB11月次新脸熟股票，深V最低点尾盘买入，次日3%涨幅微回。是否提前举行放飞？这块我简单说两句，如果说就如果说你的对这个票不了解不熟，纯看图形。
	进在当前。
	的环境下。就是可以敏感一点，你可以怎么调，不太适应一倍速是吗？那我给你给你说快点。在当前的市场环境下，如果说你的碗比较小，那你可以换一种止盈的思路，就是说登起来2%，你减10%，再蹬起来1%，你减10%，再蹬起来3%，或者就总之就没涨1%，你减10%。这样的话累积下来，你也可以大概说综合起来说，两根的时候，你其实是减了50%。
	但是除非说如果说他跌下去了，除非说它跌下去了，但跌下去了，你前面已经减了，你们就一涨就减，一涨就减。这种是主力拿你最没办法，你知道吗？他妈在机构再牛逼，拿你也没有办法，就一定要敏感，就像真烧夫一样敏感。啰啰啰，小萝卜说师尊上周三的代码您能再发一遍吗？再也不敢上课开小差了，别着急，后面我会专门讲的吃点完了，我再强调一下，就最近这种行情下，咱们已经说了两个礼拜了，叫爆发减仓。
	爆发减仓。你就一手怎么办？是吗？
	哥们儿一手，那你就。我说哥们儿，这我我我想一首我我我想想就是我我从开始做大富翁就没有过一手的情况。一手我觉得那你对弹幕说你就只赢就完了。哥们儿你这确实是一个新问题，就是一手怎么执行这个纪律，对吧？那我觉得既然你一手的话进出更自如，那我觉得你就可以是不是可以敏感一下敏敏感一下？我确实我还倒没有想过这问题。
	呃。这我我我暂时我确实我我我想想就算是茅台一手茅台，我觉得敏感点，行吗？如果说你买茅台只能买一手，就别买了，行不行？你就配点5的这种，就是你你把它你把它切开，你好歹两手，哥们儿好歹两手，两手换着来，你这他妈一直一手你妈弄出茧子了，你说呢？来这个赤焰青松，看到了，请让人民群众先走，还有小猪学弹琴学剑，感谢。然后祖传木别再发SC了，咱们现在是我煮茶，煮完茶咱就开始了。
	就喜欢台子是吗？对，就喜欢台子。那那你那你为什么一手呢？你这就不离不弃，就买完就不动不就完了吗？就是台子做T或者说台子做波段不太划算，你知道吗？因为它的波动率并不高，比如咕咕咕连续下跌不也就10%，8%到10%，也就这样了，你不太值或者9%是吧？我觉得台子就找。
	一个好的姿势坐进去。
	然后就拿着就完了。我还是这观点，就别老动了。奔跑的糍饭膏，卫哥永远爱您，万分荣幸您读到我的弹幕，冲到前排混个脸熟，小板凳坐好，继续听课。大家有了您的指标踏踏实实得您的指标踏踏实实得。
	祖传木说这个好，有个票您天眼看主力持仓一直增加，但指南针里的筹码分布变化却很大，是为何呢？就这不断的让外盘也是换手，就是我在想筹码分布有一个最大的硬伤是什么？它仅仅显示这个盘面最客观的筹码的变化，它没法反映出主力的，或者说是这个麒麟会里边的他的左账户转到右账户，它反映不出这一点。而很多小票儿噼里啪啦靠每天换手自己往上倒的这种就是你你你在上涨的这个筹码变换的过程当中，你是没法特别确切的就一定判断说他这个筹码是发出去了，还是在他自己这块对倒上去。所以说所以所以这个就是你你不要迷信筹码理论。
	所以我再跟各位再再强调一遍，就是筹码理论没有那么重要。我不知道各位能不能明白这意思，筹码理论只在大的大盘中盘都一般，只在大盘更重要。比如说什么美的，或者是什么三一，或者是银行类的票，他只在这样的盘子特别大，他没法说一个主力一个机构进来，我就是要拉升，我拉升之后我左转右右转左左转右，我这么拉上去很少，一般都是形成合力的往上去带。所以说筹码理论在在大盘股里边是更加的准确跟稳定，大部分中小盘没有意义。我说的没有意义就是说你没法判断是真出货假出货，你只能判断筹码集不集中。就比如说在低位，它不断的横盘，然后形成一个筹码峰。
	你只能在低位判断它是不是集中或到高位，是不是底下筹码转移到上面，是不是派发。你就是或者筹码的交转换从底部转换到顶部，你只能判断这个，而你没法判断说底部的筹码是在上面都出完货了。因为有可能这个机构出给了另外一个机构，然后这个机构接着再往上登，你知道吧？而在牛市的时候，大部分都是击鼓传花。就相当于比如说你69买1个拉布布，你在读上面，然后你你你200块钱卖了200万。接手的这个人，他又过个过了两个月他要做一波，他把你这个平台里边的某一款他都给买过来了，等于说就稀缺了，然后他开始做价格挂到400，你知道吧？所以你们你没法判断69这个卖了200全走的这一波筹码的集中，到底是出货还是完成了换装。
	所以说筹码理论别迷信，咱们后面会专门讲。我之所以没把它放到现在阶段去讲，就在于它没有那么重要。你把这个叠加进来之后，你有时候反而迷惑了，你觉得压测主力都出完货了，你就不再碰了，所以说这不叫意义吗？什么意思？咱们说了筹码流的意义就是看筹码有没有转换，而看不出别的东西。
	不知怎。
	奇奇怪怪金融消费者说，Z哥您好多年老粉，能关注到您十分幸运，最近面临职业选择困惑，以给您发私信。如果有时间只要样感觉不行。好，哥们儿你顶上来，然后把你奇奇怪怪这个ID顶在前面。万哥的追随者说，首长晚上好，来混个脸熟好然后岂有此理说这个好。
	如何看董老师准备带队常州征战苏超，这是定了吗？应该还还没还没有没有没还没有定，我觉得这挺挺期待的。他一直就想当主教练，他一直一直就想有一个主教练的梦。
	半圆君说小丹的天赋就是小小善是吗？小小谁谁天赋就是下一代天后，就刚才那首歌的主唱是吗？我很庆幸他还真他还这么年轻，我们的小孩辈儿能有这种优质偶像，能跟随是什么哥们儿？
	我没没看没听懂，刚才那哥们儿是叫单什么吗？是他吗？我都不知道这谁唱的，叫单依纯是吗？这人干嘛的？他干嘛的？就是我这有点上岁数，不太了解。
	那我就放，我不告诉你，我放歌是有主题的。兄弟这两个月主题是打野，明白吗？就相当于曼城主仓是不是动，是不是没动，在休息阶段。就是我听的是歌词，来首李白，刚才不刚放完李白吗？来半瓶煮酒，我操我查好了。
	我的爱。
	为了听直播，刚刚把外卖妹妹撵走了。哥们儿你可以这么早就就有外卖妹妹，你这就就抓你，8点到10点黄金时间胖花火。Z哥有女生天天找我聊大富翁，要去拿下他吗？你想想人家找你人是跟你真要聊真真要聊大翁，我这儿就没有女生天天找我聊大富翁，所以你再感受感受行不行？
	布鲁克猪猪Z1，小弟是上周三问保险的，感谢Z一细心且真诚的回答。另外可以推荐一下出街的足球鞋吗？出街的足球鞋，阿迪的猎鹰系列上一代就是上一代的猎鹰系列出了一堆平时可以出街的足球鞋，你去搜一下。之前我也做视频也聊过有钳任性的渣男说这个视频的AJ39价格什么平台买？识货识货APP多比比价。
	Rubik c类真B刚入家坑，请问雪茄有旅管养的时候需要把铝管去掉吗？不需要，完全不需要。就是你你放你放到你的那个雪茄柜里的第一次就第一晚上你给他把把帽拔了，然后放放一晚上，然后第二天再把帽盖上就行了，添加剂。
	Z哥你好，一只微盘30秒打到涨停但没风，然后一分钟又砸到水面，这种怎么理解？之前一直是区间震荡，这就是来二货了，就是二货中国很大，老有这种二货。可能就是他看上这个了，说明哥们儿我有钱，第一次账户里有操作那么多钱，他说我老看别人拉板，可能跟其他人吹牛逼，你知道吗？说我我也给你拉一个，我也给你拉一个蹦极，一笔单子挂涨停板蹭就拖上去了，或者挂了两三笔蹭就上去了。他但是他又他因为他又没有收集之后他又没有底仓，又没有收集筹码，又又没有把筹码锁住。然后同时有没有其他关联账户一起帮他锁，所以这哥们儿就是就一波流，这叫真正的一波流。
	他封不住你知道吗？他花再多钱封不住。因为所有的票里面都有大鳄，没有大鳄，大的游资或者大户那种。我他妈来一个二二货太好了，我赶紧蹦蹦，怎么就都砸给他，这就就是他妈是有点2逼，你知道吗？这就经常有这种事儿。然后同时他的账号在下午收盘之后会收到交易所的警示函，然后给他账号近五天，然后第二天还低开四个点，接着往下砸。
	新法字说准备拿100万当定存，买什么？当当存定期是买港股红利好还是低波红利好？哥们儿首先up主不能真的不能给您建议。但是我告诉你这俩很大不同，港股红利的波动非常大，这不是一东西。低波红利是个策略，是红利加低波红利策略是红利策略，低波策略是低波策略。然后红利低波放起来等于说更加平衡，这是完全是两种策略。而所谓的港股红利的这个策略，它的稳定性跟它的持久性跟成长性肯定是不如第一波红利策略的。
	您说拿这个当定当存定期，我觉得还是不要有这种思想。因为历史走势不代表未来走势，就是它的风险还是很大的。就是说这种策略它的风险在哪儿？他的这种我操有点热。这种策略的风险是在于他不是说让你拍一件亏多少钱，而是当大盘不好，它跟着回撤的时候，就跟你放银行买理财产品是完全不一样的，你知道吗？就是你受不了你心态就崩了。
	什么贝拉涨停给你骗进去了，为什么？哥们儿你为什么追？不是，哥们儿您是充电用户吗？咱们充电用户里边居然还有追的什么情况，什么情况？
	一念IIC到现在又多了50条IC哥们儿别发IC了，我是把之前刚才刚开播的这个I这个IC念一下。因为我等我的茶我等我的茶，咱家四不原则是什么？给一些可能还真有新观众。
	然后另外你们不要分享我直播间，咱踏踏实实的就是这规模，现在这人人数规模真的有点多，咱们像以前三五千的是最好的。就是现在我这以前的很多同事，他妈的微信重新来问我说我我我这是不是又重新出山了？我说没有，我说我他还是聊鞋卖鞋。真的咱们一定要降低影响力，行不行？像这为什么这回这个可控核聚变还行，包括之前的这个创新药也还行。就是因为我没有再像轩这个智慧和宣青花一样去去那么具体的说了，对不对？所以就还行，所以咱们我就选择这个模式，就是你们别老分享直播间踏踏实实的闷声发大财，咱尽量控制行吗？控制。
	呃。对，不追不动不荒。不乱摸啊，什么不主动，不拒绝，不承认啊，渣男。
	没事儿，你看在青花轩，他们不就后面错过了创新药跟可控核聚变，对吧？然后一会儿咱们会专门复盘，今天是三个主题。第一个主题是具体的讲一下创新药的五大方向，也就是咱们算是内部的一个交流。我跟你们把我的所有的调研和研究的情况和掌握的信息跟各位做一个具体的汇报，这是第一个。外面你听不到，你绝逼听不到。第二个是咱们复盘一下过去一到过去一周的操作，有我的，然后有有大家的。然后第三部分就是咱们就给你们再把现有的战法给你们打点补丁，主要是今天是这三个，别着急。然后我还是那句话，如果说您的身体就只能支撑到10点，您今天坚持，那钱都花了，坚持好不好？
	我今天尽量讲的快一些，这样你们要有愿意睡觉，需要早睡的，你们就早睡好吧。所以但这前提是你们别发SC了，行吗？别发SC了，咱一发SC其实咱每回聊正事2小时怎么着都完了对吧？但每礼拜一念SC我不念，你们觉得我不重视，或者说我怎么着了，你们就觉得亏了，对吧？但是我要念的一下，又又3.4点，所以咱们彼此体谅一下，行不行？
	哥几个咱体谅一下，先别别发SC了，回头我不念你又说我不念，我要念的话就直接又又又3两三点了，对吧？你们有一些那种综合性的问题，大直播发，反正每周大直播我也习惯了，基本上三四点。咱们周中第二天大家都要上班出差上班什么的，上课。所以咱们克制一下，克克制一下，好不好？感谢各位。
	行，那咱们准备就正式开始了，我把我的小茶，五宝茶一道走起。然后把我的小曲儿放上稍等。
	不知不觉躺进了漩涡。
	这个泡泡里边我个人我比较喜欢这个叫什么哈奇扑扑，我觉得这可以。但是咱说泡泡下一个非常明确的是crybaby cryed。如果说你们周末去上街，你在你们当地的店，因为哪儿都有泡泡，对吧？你网上是没戏了，小程序官网上面都没有了，你们就在线下店里。如果能够遇到crybaby的这个手办的盲盒，或者是他这个糖胶的这种玩偶的话，我觉得你们可以整点玩玩。原价啊不要追crybaby，就是下一个是是是大概率是是是crybaby。因为老外在玩腻了拉布布之后，然后现在都在上crybaby，不好看是吗？
	哥们儿你拉布布好看吗？对吧？拉拉布布好看吗？这跟好看没关系，明白吗？没关系，就跟easy好看吗？Easy 350好看吗？750对不对？
	哥们儿跟这没关系，就跟说炒任何的票，比如现在炒这帮可控核核聚变，如果说什么叫好看，就是基本面好对吧？主营业务牛逼，业绩牛逼有吗？没有，这就是炒一个共识。对弹幕说了，下虽然说我不咱咱不能就是拉不不咱不能说傻逼的共识，也是因为都是姑娘对吧？姑娘人家那是真喜欢，对吧？就人家形成了共识，但是股票这里边绝对是傻逼的共识也是共识。你们还记得吗？我从一个月前跟你们让你们跟你们讲分享说这个可控核聚变绝对不是什么简单的事情，就是要长期的去看，对吧？
	当时弹幕好几个说说这玩意儿纯纯纯纯纯概念什么有什么可可吵的，怎么就是一波流那种，对吧？包括创新药也是这样。但事实证明至少已经延续一个月了。那没准点着到下半年就是一个大的主线了，所以说你千万不要有先入为主，就跟最早我也认为我说比特币什么是什傻逼但是你看吧成共识了，所以还是要开放一些开放的心态，好不好？
	咱们今天要讲的是主要讲的主题是创新，五大方向，那你在外面绝逼是听不到的。因为这个是一方面是一个是我的信息源，然后一方面也是我综合研究我我我筛，以及有些这些方向，我也扒拉票，所以我觉得今天特别适合跟大家去分享一下。然后你们知道以后，千万别圈，就是我谢谢你们行不行？因为创新药盘子都很小，你看可控核聚变盘子也小，所以这俩盘子我都没给你们说的特别明确，对吧？我只是给你们筛出来，所以你看这回效果还行，是不是比比青花要行，是不是？
	行，很多，千万千万别宣，盘子很小，我现在就很担心，明天我那第三个微博发，那第三个明天及格定价，一堆人说要抄我老底，我操你们这帮人进去之后，我他妈马上倒给你，真的，然后往下再降10%，平台人家接着做，因为无所人家前面已经拿筹码，已经稳已经很稳了。人往下坐，人家自己有数。过两天你们给你们都洗走了，就崩他妈的就再登上来，对不对？所以千万别宣，就自己知道就行了，行不行？就行了。再说创新药之前，我有三个观点，咱们在因为咱们今天是内部，我再明确一下。
	第一是什么？我上周讲的这个下半年布局的那几个方向，说的是下半年，就跟我之前说白酒三四季度，但是我从三月份就在轩，对吧？我这么那是三四季度的事情，你不要当成他妈明天的事情，就跟我上周我说的那些板块，就是因为有些在上面，有些在下面对吧？有些还看不出来，但是一律我说完了所有东西，你要用毕业的少妇战法去结合，而不是你说完之后蹦极你马上缩了。能不能明白这意思？
	就相当于比如说昨天很多人冲贝贝，他是之前咱们上周三聊完之后，上上个周末，还是上周三聊完之后，正好有个B一附近，所以他们是那儿潜伏的，所以穿起来人就卖了。但是刚才咱们弹幕有人说，昨天他妈追的那不有病吗？就一律不要追对，一律不要追，你就等等回调。比如说我周日我说创新药，等一等是不是周四周五是不是就能下来。或者我上上礼拜说我说这个可控核聚变，你等等你们的到我上我上你说的是到下礼拜的45，是不是它就会慢慢下来，对吧？所以你看所以之前的6月11号这一波，我给你们微博给你们汇报的这个就非常标准是吧？
	如果说你要是上个星期三你你你听了课了，你就会知道这葡萄不就是辛娜娜吗？对吧？辛娜娜，所以那你就能就这把就是你就能该吃上。所以我再强调一遍，就是说是下半年这整个下半年都可以去看啊，都可以去看。而不是说咱们刚说完一个，你马上就把这个哥们儿就干了，你干不了知道吗？你拿不住，你恐惧，你困惑。
	然后第二个我要说什么？第二个我要说的是这个创新药，咱们把它整理成什么？就是我最近在琢磨，我首先提出一个观点，全网我没发现谁提出这个观点，但是也不重要，咱们不跟别人比。我只是说我提出一个观点，我最近反复在琢磨，因为最近我为什么疯狂的研究这个拉布布？就是拉布本身我对拉布布本身不感兴趣我。我女儿喜欢，那我给他们买点。而且大家很多人都喜欢，你们都是年轻人，所以我给你们抽点。
	但是我研究的是他的一个故事，就是我我一直在反思，我为什么当年他妈跌了90%的时候，到10块的时候，我他妈没看懂。因为你们要看我微博，你们会知道我经常给我女儿买这个泡泡和买买卡游的那些卡完我都是直接端盒的对吧？我一直在买，我又不是不知道这个东西，但是我为什么没有这个sense，所以我也在反思，你知道吧？就是干咱们这行的都是活到老学到老。
	那就是说这跟岁数是没有任何关系的这跟经验也没有任何关系，因为时代永远在进步。就相当于比如说我能看得懂名儿，我能看得懂名字，对吧？那那我他妈为什么没有看懂泡泡呢？是不是因为因为我老了？我觉得有肯定有这个因素，有这个因素，但是就得得琢磨。但是我现在这个位置研究泡泡不是为了干泡泡，就是咱们今天都是自己人，你们一定要明确我这个观点。
	因为我说了，我觉得头跟尾就没有必要再碰了。头跟尾说后面能不能再来一波，我觉得他得有个像样的调整。他说像样调整有两种，一种是芭莎下来个百分之二三十，再起。另外第二种调整就是横住了，比如摔下来10%，然后横住了，在这位置横横出一个圆弧底，未来结合他的半年报出来有惊喜啪再来突破，就跟15年的东方财富一样，或者跟1415的乐视一样。
	所以说我说了，我现在研究泡泡，不是说我要干它，不是人。他妈从底下上来已经他妈快30倍了，你他妈干毛线，对吧？你说泡泡就现在来讲，它它值三千多亿吗？它值吗？所以说但是没准说半年报出来之后，半年报出来之后，大家情绪一下又上来了。
	为什么？因为目前来看，泡泡这一波的重新定价是怎么给弄出来的？是海外销售刚开始讲这个故事的时候是什么？是海外销售占比跟中国一样。再结合近期的我在tiktok上面去看的就是这种情况，包括youtube上我看到这种情况在海外。
	也依然在持续发酵。
	所以说未来如果说在海外的业务占到了中国本土业务的比如两倍，那就不一样了。哥们儿这就不一样了，就是这个整个的他的逻辑就重新改写了。所以目前来看，如果说本着咱们从年初到现在说一个月1个故事，那现在来看就很有可能说这两个月的故事就是拉布布。而拉布布本身他是什么拉布布还是把布布，还是苦布布，什么什么ZZZO什么不重要，重要什么？重要的是中国文化产业的输出。所以我聊到这儿是什么？我觉得下半年还要有一个更加综合性的主线，我觉得还不是主题了。
	主线什么？大家一定要有个概念是什么？叫china new story。China new story这个是咱们今天此时此刻我先喊出来的概念。什么意思？就是说年初伴随着迪普sig所谓的叫中国新叙事，对吧？中国新叙事。但是咱们把中国新叙事这个情况，咱给他再说的具体点，不如叫中国新故事中国新故事。
	为什么？因为会包含很多很多品类。首先科技，中国的科技，比如说大疆这种，大家所有人都知道，但是他没有上市对吧？然后deep seek，慢慢的在各行各业都会逐渐的去涌现出自己行业内的deep sick moment，所以第一是大科技。
	第二是什么？是消费。消费这就不用多说了，咱们周末也说了很多，对吧？然后这这这这是一个。
	第三是什么是医药医药医药里边主要是创新药。现在世界第一大创新药的平台采购，中国的比例达到了40%多，快一半了，到今年年底时候几乎就一半了，这个趋势简直就是势如破竹。所以在创新药等于说把它放在第三个位置。
	第四，什么是文化输出？文化输出目前说中国的文化，你往海外，特别是西方世界，也无论伊斯兰世界，那还是信耶稣的，这个世界其实是很难输出的，很难输出。就哪吒那个包括黑熊王悟空就都努出血了。你会发现还没有拉拉布布这个输出的厉害，对吧？那拉波波为什么输出的这么厉害？就是咱们之前直播讲到的一个重要的逻辑，就是说老美不怕你tiktok，人家有有youtube，有X，有这些乱七八糟的人，为什么要进你这个tiktok？因为是你这个平台明显是变成输出中国文化的主阵地了，这他妈就很麻烦了。所以你就看这一波拉布布怎么弄的，大陆没声音，东南亚掀起的。
	东南亚起完之后，然后再泛化到美国，美国。通过什么？通过tiktok。所以这个是不是大家就对上了，大家对上了。
