	来测试一下声音行吗？画面来了声音行吗？
	这哥们儿说万总端午安康，蜜月旅行在北京推荐的北京必吃，媳妇儿特别满意。我说万总严选必是经典。好，关键就是女人满意就好啊，关键咱大大老爷们儿无所谓，咱吃什么都行，跟女人一定要满意。彼时此刻生人说Z哥端午安康，这连播三天还能天天三点下吗？怕Z哥身体吃不消，咱们看情况，我觉得应该到不了那个时候，因为只要没有那么多SC咱就一般不会能聊到那么久。名字跟大米来了，老朋友说开课了，太激动了。软件一打开，四堡茶也泡好了。冲好顺大事儿，先逆小事儿说这个端午节快乐。
	谢谢常连成说祝Z哥端午安康，万事顺遂，祝Z家军长虹。好，love in cocoa是吗？Z哥好，关注您五六年了，前排混个脸熟。ID改自霍乱时期的爱情，祝每一位安康好，闷声发大财。
	说ZGB19年老粉，感恩Z哥几年来的陪伴，感觉每次听Z哥都有新的斩获，博大精深。咱们就一路同行这么多年了，是监制最好的朋友小野中2。你可以了，你这续完建都1208天了，可以了。你现在好像就有一个哥们儿比比你多，可以了，可以了，真的已经非常感谢了，就不用了，每次来看就来听就行了。爱学习小磊叔叔，Z哥端午安康，向您分享一下近期已成功召唤Z牌神龙，关键时刻哥们儿全勤踏踏实实学。另外618还有视频吗？
	618后面应该还会有一期，因为现在是618渐入佳境，然后有有一些有一些比较高性价比的选择，知行合1CHH，Z哥端午安康。求求指教。巨蟹男跟巨蟹女相处如何，而是需要注意下哥们儿这种SC刚才我说了，咱们咱们今天咱们今天聊刀，聊聊刀，所以这个问题咱们就回答完，后面就别再发这个了。
	巨蟹男跟巨蟹女相处需要注意，巨蟹男跟巨蟹女两人在一起最容易干嘛？最容易怄气，最容易怄气，也比较容易冷战，同时很多小事儿在心里，有时候没法的说主动来谁先迈出步来交流一下，然后由此会产生一些不必要的误会。但实际上无论是巨蟹男还是巨蟹女，都对这个家庭其实都充满很强的责任感，关键时刻都是觉得家是一个港湾。所以我就说到这儿，如果你们在有记住有任何的问题沟通，笔直的难说少妇阵法突遇黑天鹅，普普跌破，是坚守纪律割掉，还是特事特办格局一天。这咱们一会儿后面会讲。因为今天的主题就是大家再重新的好好的梳理跟复习一遍少妇战法，然后以及结合咱们这个曼城的主力阵容和替补阵容，挨个都讲明白。
	韶华易逝，不负流年说这个好，祝老师端午安康。想要汉LEV4区Z哥好，课题组一漂亮师妹黄金最高点被套，我也想把我的金葵花出货给他，求教如何操作，一次出还是分批出？哥们儿，我这如果说看字面意思来讲，要出就一把砸跌停主火。但是您这我不知道有没有什么额外其他的意意思，所以我也分辨不出来。这最高点被套是什么意思呢？你的金葵花出货给他是什么什么意思？您有那么有价值吗？你金葵花，壮客不是庄客说周日大直播，听着睡着，没想到被班主任表扬了。未来继续站在村委会继续知行合一。
	好，左脚弹琵琶，罗西基来了，ZGB衬SC尾盘封个板，我隔着陪您三天到最后。那行，我一会儿我点名你。蠢驴13天都能看Z哥吗？太开心了。咱们这踏踏实实的，然后抹茶不加奶，Z是安康。昨天B一今天B2，追一首我是抹茶，记住了30 deputy，祝Z哥和Z子们端午安康，阖家欢乐。
	几天不见，想你想的手起茧子。Z哥你们是不是进进错单元了？咱们那他那咱聊刀好吗？聊刀？
	菲柏菲柏说把统一时间发SC这条规则打字写屏幕上，要不然半途来的不知道规则。没事，咱们我看现在已经1.1万人了，快1.2万人了。我觉得基本差不多，基本差不多，应该大家都去都听到了。一会儿我说开始大家就不再发SC了，然后一直到咱们都把今天内容讲完之后，然后咱们后面有个答疑时间，然后再开始发SC，说能不发就不发。咱们这三天特权，能不发就不发，那你们发弹幕飘，弹幕飘的多，到时候咱们集中的回答也可以。
	格力男主Z哥本来要出去旅游，昨天课表出来后果断退票，老婆很支持。这是不是命里有财？你不是命里有财，你这是命里有一好媳妇儿，你就得好好的。他是等后面是不是你这把戏楼钱拿出一部分给媳妇整一包什么的，是不是？
	21号避难所Carrier徐健，感谢，看看净值曲线说Z哥好辛苦，Z哥端午不休息，给兄弟们排忧解难。大家真的我就是你们这么支持我。一开始没没我没想到从上次咱说现场直播转转到思域能够看图说话，我没想到这么多人，你们给我架这儿了，你知道吗？包括后台私信，你们把我架这儿了，然后恰恰我又他妈虚荣，我又好名，我又虚荣。所以咱这三天肯定要弄出血，就得让你们这什么828花花花出这个88888的感觉，你知道吗？就是一个爽爽字，地球人真好相处，去见430天，感谢J126，踏踏实实好好学习，感感谢感谢大伙端午安康。
	然后小白AKZ哥指定少爷来了，说Z真B少爷斗胆建议一下，998充电福利可以是腾讯会议。看个面相吗？哥们儿看面相一般每天就俩，这玩意儿太费灵力，你知道吗？包括猜猜星座，一般来讲咱们平时大直播的时候，后台那妹妹们让看一下，看看面相，看看一眼看看星座。我一般就前两个比较准，前三个俩一般是对的，后面就容易看飞，就灵力没了。
	OUVIN上线又第一天，这是一个一个新哥们儿，这ID是第一次见，然后是汪小黑，说端午安康。行，从今开始别再发IC了，我发现怎么IC越来越多？别别别别发了别发了别发了，现在stop here，停了，别再发IC了。是汪小黑，说Z哥端午安康，和女朋友出来捏脚也必不能错过您的直播。行，可以，你就带带你，你带你女朋友捏脚，我问一下，我看看你的格局。你现在让你那女朋友是男技师捏还是女技师捏的？行，我看看你的格局好吧。
	丘壑ZJBZ哥端午安康，蓝罐红牛已备好一箱，端午集训弊，每天跟到最后。好啊，输三彩。请问这个安娜库林的量价分析能看吗？或者有其他更好的量价分析的书？量价分析咱们后面会单独讲一次，然后你就听我那个就足够了。
	包括你们那些说筹码理论的，哥们儿跟陈浩老师的这个跟着他的思路已经二十多年了，从他最早在指南针上我就跟过来。所以你们不用去买那本书，那本书卖一百多万吗？你们不用去买，你们也不用外面去查查，这就没没必要。就是你在我这儿听的你在我这儿听的就是说跟你看书或者跟看别人不一样在哪儿，你知道吗？在于是我不光研究这玩意儿，我还把它结合。我的朋友曾经玩麒麟会的时候，完全盘面我给你堆起来，等于说就知其然，还要知其所以听我就完了。
	比如你外面听的，比如你哥们儿二十多岁，三十多岁，整整个自己账户可能百80万的，或者他妈的这8万10万的，学了几个技术指标，哭哭的跟那爱好者明白吗？那个叫爱好者，那是爱好者不一样的。所以你这就你跟你来你来我这儿听听的主要就是真实无论是成功还是失败，包括我后面会有大量的失败的案例。无论成功还是失败，你在我听的就是一真实，你在外面听不到，否则否则的话，我也不好意思转成思域来了，对吗？我也不好意思，天秤座要脸，对不对？
	然后叔请叫我少少年说Z哥端午安康。一年下来在魔丸行业见稳住脚，应该就会在下个月出货，到时候再来报喜。好，到时候你发个链接，我买一个支持一下你。翠花来了，说端午安康。哥今晚家庭聚会没法专心上课，但我戴耳机听也要听完，等有回放好好补课好。咱们核心的内容大概可能在90点钟之后，就是更最核心的内容。因为有些原因，我不知道你们反正大概就这意思，黑蒙蒙。
	十一祝Z哥和各位这次端午安康，在泰国旅游途中但不能缺课。虽然错过创新药这一波，但依然按照纪律耐心等下一个B一好嘞。啊呃秋秋秋说Z哥端午安康。
	目前大富翁三个月没赚没亏，反而红利低波贡献主要盈利，打算用少妇阵法踏踏实实拿住低波。哥们儿就是因为后台很多朋友给我发说第一波现在赚了10%以上，10 11 12的这种，那就是符合最近第一波红利的一个走势。其实我从4月7号之前春节我就跟你们在说第一波红利。然后到4月7号我又强调了一下，就在于对于多绝大部分人来讲，你的很重要的一部分仓位，如果放在第一波红利里边，实际上是可以给你稳住军心的。稳住军心，就相当于古代打仗，比如说动不动什么十万大军，20万大军，不是一下，就他妈带干啥的，围个城30万围城，不是哥们儿，不是这样的，人家一般中军和中军外围比如带了20万人，中军跟中军外围守着的大概是15万，有3万先锋，然后左先锋1万，右先锋1万，加上5万先锋，这是他妈打仗用的。所以咱们每个人，你要把你的账户的每一分钱当成是自己的每一个士兵，比如你只有2万块钱，这就是2万个士兵，你要对他们负责。大家一定要有一根弦儿，一定要有这个概念，就是一定就是别特别草率的8，他妈就仨人动作8 28000我就撒了，不能这样，千万别别这样。坐等宁子上40，说这哥我错了我买不起666888的鞋了，摸了把骚的摸成傻逼了，端午重新谦虚求求学，没很正常，别着急。
	桑尼ING说怎么他妈的越看越帅，金越看越帅。金牛男在此承包端午三天，最后一条SC说到做到。否则小二15厘米。哥们儿小二15厘米，那你不就长里边去了吗？这不富了吗？你这小小哥们儿你就过于自信了，你有点乐观，知行合一。铲屎雄说，少妇阵法17，捷豹上次三只创新药，两只放飞一半各盈利80、50，剩下一支村委会大胆持有也25了。
	ZGB踏踏实实，优酷赛优上见。感谢可靠的刺猬头说Z哥好，后排小小板凳坐俩月了，趁着没开奖发S混脸熟。你们真行，感谢分享动物健康好万哥的追随者说首长昨天没看B站，拉了一天，拉了一天SC祝首长及家人好好运粽在身边。段王康说，各位好如尔用心，常如今日说。
	ZGNB998小组成员，之前私信未回，无法继续联系，请方便的话回关或回个消息，别着急。我爱憨8龟OVOB站第一次中奖给了曼联，没有给这个很很很懊恼。什么意思？没看懂，昨天中邪了是吗？行，别发了。
	SC现在停了，停了。咱们刚才也是正好等等人，现在人基本到齐，我看基本上这个应到实到人数，我觉得特别好。大家的这种学习态度，你就比外面那些玩玩闹闹的那对吧？就想得一个号码就能发财的那肯定你们不挣钱谁挣钱？
	实话实说，真的，就以前我们在这个南京世通的时候，我们公司门口常年打地铺，等着见程总的这种然后他们白天就在楼下的这个网吧看盘，然后一收盘以后，就拿着铺盖卷就到我们公司的门口。然后前台都也都把他们时不时的也请进屋子边来喝水，反正然后包括这里边也出了一些徒弟，然后有程总带的，有我带的，然后还有我那大师兄带的，反正老天一定不会辜负努力的人。行，然后我把我SC这块关了，你们别再发了，我现在看不到。然后咱们要专注准备开始聊今天的正事了。
	然后我这儿也开始点我的本地录制，同时系统后台也有录制，所以不用担心，不用担心这个COPG1989你可能刚来中国田径军。好了别再发了，咱们说了stop，SC咱们停了，咱们开始讲正事了。中国甜甜说，亲爱的敬爱的陛下，崭新家祝福端午安康，平安喜乐。今天喝双谷归元酒了吗？没有，还没成，那还没成so pig 1989说怎么看情绪周期，追题材龙头这种超短玩法入市第一个月这样弄了二十多个点了。如果你刚入市，你靠这种所谓的什么超短发拿20个点很正常，就跟新手手气都不错，新手的手气都旺，一般都是比如说你跟人打麻将，或者你去去这个澳门，去马抗，新手一般都比较性，就是所谓的叫一个新手保护期。等你把新手保护期过了之后，你就会会会会发现风险跟收益是成正比的。
	行了，咱们别再发SC了。正好我那天做了几个小小的记录，正好借着这个话题说一下。我现在所有人，你们又现在快1.3万了，我跟所有人一定要强调一点，哥们儿你们所有人一定要记住。咱们先说今天的第一个强调，第一个强调就是凡是我在直播里面跟你们讲过分享，说我走了或者我减仓了，这样的标的不要去着急抄底。大家一定要记住，就包括比如之前的新先锋的那个顶部大风车，然后包括之前的米米米儿对吧？
	555、50 57、58的那会儿米儿，然后包括迪迪，我都说了，我走了，我减仓了。你们千万不要很快的用第一战法少妇战法去抄底。为什么？因为我的策略一直是要么就拿锯不动，如果我已经没有拿锯不动，开始动了，就说明我认为至少从中期来看，在我认知的范围内，应该是已经到了一个阶段的高点了。为什么说之前的米儿高位大拇指放完之后，我这个下面接回来，因为股灾他一把从59跌到37快1半了，它短时间内完成了一个大跌，回到了之前我认为咱们讲过那个平台到了，我认为新平台的下沿到了这儿了，所以我就认为可以了，我认为可以了。
	所以除此之外，包括咱们说无论是主力还是替补，慢慢成长。主力还是替补，凡是到了这个止损位的出来之后，先别着急再比1。因为如果我认为他没问题的话，我就不会走，或者我就不会剪。既然我已经剪了，我已经走了，就说明我至少从中期来看，这个票暂时我就不看了。所以你们回顾一下，无论是之前我走的，还是我迪迪走的，还是我这个米儿拍拍掉的，实际上后接紧接着后来再出现B一的时候，实际上准确率是非常低了。那如果我没走没动，比如我队长我就没没动，对吧？队长我没动说明我认为他中期的风险不大，中期风险不大。
	所以如果我说中期风险不大的话，他回到B1，你们无所谓，你们就自己看着，按照纪律论就行了。所以我等于说今天借着刚才那哥们的话题，我先今天先强调第一点，就是说反正我跟你们已经说了，我说我已经放了我已经卤煮了，包括名字也是名字，我一直没有说我放过，对吧？我说你们卤煮但是你会发现宁子你按照B一来回，从去年这一年做了几波，实际上也是挺舒服的那因为我认为他至少在这个区间相对来讲是问题不大的。所以说你们要有一个概念，就是别始终记得，它是慢城真成的，就能够反复轮。不一定，为什么？因为比如说名字没动过，就是底部区间，它就是在底部煎，包括赛赛现在就是一个高位的一个横盘区间，那就没什么没没什么可担心的就区间那少服战法就行了。所以说也就是引出第一个话题，就是说大家一定要按照在做少妇战法的时候，要按照中线的思维做少妇战法。这是今天讲的第一个，就是一就是我拍曼城阵容里边我拍掉的，或者我已经减仓的，或者我已经卤煮的，你们短期不要去做B1，一定是我认为中期也就这样了，中期可能大概率就是这样了，所以你们没必要在这个方面去耗时间。
	由此来的结论是什么？是你们的少妇阵法，无论是曼城阵容还是你们自己的，一定要带着中线思维去做，就是别瞎论，所以这是第一个纪律，带着中线思维做少妇。然后第二个是什么？第二个就是要跟大家讲的是这个你们也自己试了大概一个月了，烧不战马对吧？然后这一个月大盘走势，其实也是先上去再下来，包括整个的一个什么是中线自卑。中线自卑你可以理解为就是这票三个月到6个月你睡得着觉，不关注它的涨跌你睡得着觉，这叫中线，这叫一个中线。
	3到6个月，比如说我个人认为我认为像比如名字这种或者队长3到6个月他不会给我跌出翔。我个人认为，我说纯个人，我队长不会给我跌跌出墙，我也不认为之前的高点就是他未来3到6月的高点，那我就拿去不动。但是比如说我之前我认为敏儿或者新前锋或者迪迪，我觉得他妈未来3到6个月他很难那么再再再顶到再顶到他的新高了。比如说米尔说三个月之内再再上60，我觉得这个概率是相对来讲小一些的。
	说年底用，或者明年再说明年的那所以这叫中线思维，就是你一定要认为它未来3到6个月你是放心的。无论是基本面有保障，业绩有保证，还是这个图形他妈太完美了，反正你总会有一个原因。你认为3到6个月，就比如说第一个思维就是带着中线思维做少妇，也意味着你就在这一个标的上面反复轮就可以了。队长还有人，你都哥们儿都花钱了，还不知道队长是谁啊，队长就是企鹅。第二个是什么？你们玩了一个月了，少妇阵法，然后我相信给我发后台作业的，我觉得太多了，我已经看不过来了。都是你们认为成了赚到钱了，但我相信肯定也有一大部分人是没有学会的，或者说没有应用好的，或者没有赚到钱的这很正常的。因为市场本来就是吃亏两瓶一转，但我认为咱家的概率可能这个会稍微的更更和谐一些，更协调一些。
	所以这块我要强调第二点，就是你们也玩一个月了，你们也玩一个月了。我觉得无论你是赚钱的还是没有赚钱的，或者说你觉得你自己是成了的，还是你觉得你没有惩的，一律统一要有一个认知，就是说降低交易频率。降低交易频率，一定要降低交易频率。就比如说咱们在两个礼拜前周三的那堂课，然后我扒拉那一晚上，就一雪人，就一港股的雪人？再结合我三个礼拜前的创新药，创新药我说了，我有个难点在于什么？在于你们又要说Z哥你别宣，同时你说Z哥你你你讲的再明确一些，所以这是我的难度。就比如说我宣的最后一个票，我不要轩的票，我我我说我自己买的最后一个是青花对吧？那清官宣烂了，就无论不管是主观上还是客观上，绚烂了清官。
	咱们有时候别着急，咱们说今天第二部分是曼城阵容的复盘，别着急。所以我后面我我我就改了，我给你拿几个关键条件，一卡但凡有点悟性的结合笔译你就会做对吧？我说一一创新药。第二之前主力很明显入场建了波仓，先打好底了。第三抑郁抗抑郁抑郁症的抗抑郁症的创新药。第四已经进入到二期了，对吧？然后再结合盘面，B一了，教完少妇阵法了，这5.1卡其实就一个标的，其实就一个标题。就是说你那但不论你是用deep sig你还是用什么，其实就一个。对，你们有人打出来了。
	在这个里边，咱们说你不是康康，其实是老的，新的是那个是华。你但凡稍微的投入一点点的钻研精神，你就一定能够找到。同时你看右侧B1，舒舒服服一个礼拜B1，同时一个礼拜你建完以后，它没有跌破最低点。
	所以我要说什么？我要说咱们家的那个那个大叔，对吧？就是我跟大叔没有任何私交，人大叔天天研究是吧，所以你就让人就研究出来了，所以人这把中了一大的，你别不服对吧？就是他以后还有没有这么好的运气，或者还能不能咱们不知道，因为大家这都不确定性，但是人家真研究，人家每次听完直播之后，人家做那些总结，就跟我以前在高中的时候，我们全年级的历史、政治和地理的考试前的那个考试提纲都是我总结的。所以在总结的过程当中，你必然不就是能够去有更多的研究，对吧？所以我也不知道大叔吃的满满不满，吃了多少。
	但是大叔他还研究了两个什么？研究了两个，一个是一个是米诺索，还有一个是什么？还有一个然后他也问过这两个。后来我跟他说这俩我都有底仓，但是我已经早就放飞了，我有特别小的底仓。所以说如果minis o minis o对，如果大叔是创新，要跟那个minis o一起配的同舱位的话，那大叔可能对冲了。
	所以我我不知道我我不知道，但是大叔你看咱俩那个留言，我跟你说了，我说我认为minis sole太还是贵，我认为minis sole太贵了，所以这就是机构思维，所以咱们慢慢来，别着急。但是我不知道大叔有，因为大叔只是问我，然后我跟就是我只我不知我我不知道大叔有没有mini手，我不知道，咱就这意思，我现在的方式就是我给你卡五个关键条件，一卡其实就那一个，说你们要不知道，你们就把我说这几个泵放到deep seek里面，或者放到那个元宝里面，你们一弄就出来了，一弄就出来了，好不好？这样的话稍微的卖点力气。
	所以说第二点就是说一定要降低交易频率。你看我这三个礼拜之后，这一个月，其实新开的仓就两个，一个雪人跟你们说的，然后一个那个那个娜娜对吧，华华对吧，娜娜其实就这两个就是这样，但是这两个我没有见特别多是在于什么？是在于这两个在我的曼城阵容里边，他们属于什么？他们属于这个主题投资，属于主题投资。
	所以我下面就要说的第三点，提醒大家一个第三点是什么？是大家在玩儿的时候一定要注意，只能玩两种。一个是什么？一个叫主题投资。主题投资就是什么？你就把它理解为是概念票。
	另外一个是什么？叫主线投资？是雪王，不是雪人，一个叫叫主线投资。就是你在玩少妇战马的时候，你别他妈去整什么中中泰哥，又来了那种什么万华，什么八竿子挨不着，就人来救你，或者人游资人来玩人也人也看不见，你知道吗？就比如你上来，你第一组、第二组、第三组，你这边他妈的就人，我们一般就不会叫过八组，叫叫过八组就没没就没的，明白意思吗？就是先来前两组是最重要的。所以说一是主题投资，二是主线投资。
	有人说什么叫主题投资？什么叫主线投资？非常简单。主线投资就是咱们一直说的十四五规划里边那些，包括是现在整个你能看到能够它这个板块，能够容纳更多中长线资金的机构资金的，这个叫做主线投资。比如说新能源车对吧，就所谓大傻子都知道，或者之前的科技票那里边，比如半导体，或者是像未来，比如说白酒，这属于主线投资，就是当消费来了又顺周期，那后面肯定是白酒。
	但为什么白酒没来？因为没有到三四季度。说为什么要到三四季度？因为等至少等半年的花寨时间以及半年的经济数据，看看基本面到底有没有好转。如果基本面有好转，同时美国那边降息的话，咱们这边跟着一降，然后一放水八出钱，一出来印更多的钱，然后流向市场，慢慢的偎通胀开始顺周期，所以必然会有白酒，所以有三四季度有可能叫什么？这个叫做主线投资。
	但这会儿说两句，为什么说白酒最近特别弱？是因为谁都没有想到河南当地一个小官喝死了，上班时间喝死了，喝死了，操喝喝死了。所以这就有点这就像有点像黑天鹅，有点黑天鹅事件。所以然后马上又是七一，这本来每年就一个每年就会有一个主题，然后结果爸这么一弄，结果爸严打。那严打这过程当中，我是认为这只是一个一个插曲。那只是一个插曲，咱们一会儿后面再细讲。
	然后咱们随接下来咱们接着来说，要分得清主线投资跟主题投资。比如说比如你拿着台子，台子的主线算什么？算一大消费。
	有人后台私信问我说，白酒算新消费吗？白酒不算新消费。然后有人说白酒不算消费，为什么会稽山连续拉涨停？因为会计站算新消费。如果说我我说我说白酒不算消费，但是会计站算新消费。
	如果您没有投入时间，研究完就会觉得为为为什么为什么？这个都听不懂，是因为会稽山玩了一个什么？玩了一个网红概念，玩了一个小红书概念，玩了一个抖音概念和概念。他玩了一个所谓的是针对年轻人，出了一种更加吸引人，就跟相当于冒出一江小白的意思似的，或者叫江小白兑可乐。就问你们，你们都喝杰克丹尼，杰克丹尼加可乐，这是不是有个饮料，对不对？所以等于说他相当于推出了一个网红款，像年轻人去这个市场去打的。
	但是实际上他的这个产品占他整个的它的主营收入非常小。所以说会稽山就不属于大消费里边的，它是属于蹭的是中国新消费里边。中国消费同时又没有业绩支持，他算主题投资，中国新消费里边的主题投资。所以这就是区别，就是区别。
