	特别的像。
	所以咱们接着说，放弃向上幻想，专注挖坑和填坑。碗小的你就填小坑，碗大的就填大坑就行了。对，先把2万做到100万再说。现在把10万做到100万，人家好不好信你，或者你把你30万、50万，你先做到200万再说，刚才不说了，就是公募之间在一起，机构在一起可以高谈阔论，未来我觉得9000点靠什么呢？靠五个平台。第一个平台什么机器人，第二个平台是什么？
	是这个AI对吧？然后第三个平台是什么？是这个数字货币。第四个平台是什么？是他妈的这个数字医疗对吧？第一个平台什么说了那么多，什么意思？
	什么什么你再说一遍，吹牛逼对不对？高谈阔论谁都会对吧？你手里拿20个亿的时候，跟你手里20万的时候，谈的东西就是不一样的。他们说我手里我要有20个亿，我跟你这讲他妈什么逼呢？对吗？踏踏实实的踏踏实实的，就是他妈手里有20个亿，100个亿人要人要配置人，配置人他妈必须得谈逻辑，必须得谈大的框架，必须谈平台，是不是谈平台？那弹簧什么B一进去？B一进去他妈是人家给你拉的，明白吗？
	就跟有朋友问我，有很多朋友问我说Z哥你的体量，为什么你现在你就不做股票了？我说我做股票是我给你拉的，我给你拉的。但是你看比如我们跟大大佬聊，我就坐那听听着，我不说话，我听着，大佬说了，对吧？人工智能、机器人、数字医疗、区块链跟储能，说未来十五就这些东西，让我提前准备准备说完了走了，我他妈还琢磨要，哥你那第一近是吗？别闹了行吗？踏踏实实的。
	所以但是咱们说咱们在说咱们考虑的是什么？如何从1万2万到10万，从他妈一从10万到100万这过程当中，咱就别整那些虚的，咱就聊怎么从2万到100万行吗？咱就聊怎么从10万到50万，咱们务实一点。
	所以之前讲那么多白聊，刚才给你们铺垫，我白聊你们？踏踏实实踏踏实实，别打岔，好好听行不行？今天课程还是非常的多的，今天任务比较重。
	所以你们要树立一个。
	概念是什么？就是我给你把这字放大，表示的非常的重要。你们要树立一个概念就是。
	要概念，就是只有大A下去我才能上来。所以你们出去之后，不要再去跟人喷，什么三千字就是过不了，就是傻逼不傻逼。你想比你比我钱多的这帮人，人家就是清华北大人，他妈直接中科院保送，中国科技大学保送人。就这帮人在背后在玩这个事情，你说比比咱们是不是要懂，是不是比他不是唱空，不是再说一遍，不是唱空，是不是比咱懂，人又有钱又有知识又有认知，人家不知道说我网上登起来，我的账户也飘红，但是不需要我再说一遍，绝大部分时间不需要直接奔到，别说四千，比如说6000了，等到4000年你们很多人就辞职了，就不干了。再他妈等到6000点完了，他妈老头老太太们就都都每天也放学都不接孩子了，就天天就盯盯盘了。
	盯盘了。
	到时候整个这社会制造业中国制造业怎么办，我们还没有成为世界第一，中国制造业怎么办？所以他一定是有节奏。但在这个过程当中，这些精英群体，这帮资本市场圈的人家也得挣钱，人家这是人家的营生，人得挣钱。那人都广场舞都不跳了，都他妈坐那八开始看那个直播是吧？大广广场舞整个一个大大的，他妈的那个那个LED他也一样，看这个直播是吧？
	所以你就要琢磨说，这些人是怎么赚的钱，对吗？就是以前我们的赚钱方法就是每年大A两次机会，上半年一次，下半年一次，那一般就都是先砸下去，然后再登下来，指数不变。我几年前的直播是不是就已经跟咱家老粉已经就聊过这个概念了。我说对吧？
	就是说比如说你看我我有我有两个亿。要做一个票。这个票的价格是20块。我要把20，我要翻翻做到40。不是错了错错了，我要做一个票，这票的价格是20元，我要从20做到40，然后它的流通盘比如说是1亿。1亿股。
	我这要1亿股，然后我要拿流通筹码70%，有可能拿到。那咱们大股东锁了50%。
	外面还有5000万股流通盘，对吧？然后5000万股流通盘我要建仓，就好比我在20块建仓，20到30是建仓区间。
	减仓区间平均就是25，对吧？25乘以5000万股是多少钱？
	来数学天才。
	需要多少钱？
	12.5亿对吧？但是我兜里只有5亿。怎么办呢？我我我我我我兜里只有5亿啊。怎么办？我就先来个涨停，我就挂22块，挂一挡铃，我过来涨涨铃，我可能花了5000万。我再拿这个5000万，在他妈连续一个月。砸下跌。到10块。到10块，天天卖，天天一开盘就低开两个点就往下跌，然后每天跌三个点，然后到了十块的时候横。
	在这儿装死。
	然后我得拿5000万筹码。
	10到15块平均是12.5的成本。因为我一路已经在拿了，砸的时候我就已经在接了，12.5成本，所以12.5再乘以5000万，多少钱？砸的下去吗？放心，肯定砸下去，青瓜不就砸下来了吗？只要不买，只要麒麟会不买，只要庄家不买，主力不买，你放心每天下跌2% 3%的，后面还能加速6.25亿对不对？好。
	6.25亿之后，我只有五个亿，还差1.25亿，对吗？我借1.25亿。利息年化30%。
	30%。一般来讲不会可丁可卯的，咱们就为了理想化，咱们算可丁可卯的。然后现在就可以控盘了，控盘之后这都很便宜了，30%很便宜了。一般要游资他们去拆借的话，他妈的一个月15%，一个月15%。记住，这他妈年化30%属于搭面子了，完全搭给面子了。咱们再去算12.5，先拉到25翻倍。
	然后呢，看看情况，洗一洗。再拉到50。再从50放量，然后从对倒放量，从50再跌到。35。你们就来了，你们都来了。35到38。第二次出货。第二次出货。最终。
	出货价格。
	是在50的时候，这过程当中可能在45的价格已经出了，是50到30之间，那就是38块钱平均。
	那38。乘以5000万等于多少？在这45出的时候，是谁啊？是游资跟机构接走的，游资跟机构接走的，在这个位置是给散户抄底弄的，所以这块已经没有什么货了。19亿对不对？然后19减去5，再减去1.25乘以1.3。等于经转什么数？操，写错了，1.25。
	这只是一个非常理想化的一个过程，我要说的是什么事儿？就在于股价，股价不用非要从20做到40，而是从20跌到10块，再从十块。再从十块到25。在这个过程当中，对于庄家来讲，已经麒麟会已经赚钱了，已经赚钱了。往后面就是碰上行情，好比如像光线传媒，光线传媒，你你你你碰碰碰上一波这个大的天时地利人和，但实际上12.5到25往上蹭一下，最后往上窜一个长上影到30也可以了，也可以但真正的这些钱在兜里的能够赚到很踏实的，就是从十块到25这过程当中，在坑里都是对对对，在坑里，在坑里。所以说情况就是这么个情况，就是你不用非要说现在一票20，我他妈就跟他干了，我必须从20看到40，他要天天不涨到40，你就骂不要。而是20到10块的时候，你当你发现异动，完成建仓12.5块，完成建仓往下一洗到12块，在那个位置你就可以跟人家奏乐，跟着我了，所以情况就是这么个情况，所以这个。我要这个逻辑讲的是，你们不用去太在意大A要不要特扑几千点，这不是战法，讲逻辑不用在意，同时也放弃向上的幻想，放弃幻想专注于。
	找坑。
	找坑找坑。就跟刚才说这个光线。你去看这光线。就是像这种坑你是找不到的，你没有依据能找到这种坑。当大盘屁股尿的时候，你是找不到这种坑的。除非说你这个你有你有信仰，你有信仰，你觉得他妈就是你就是你，你就莫名其妙，你就觉得你能行，否则的话这一波是赚不到钱的。
	但是走完这块出来之后，人把这个坑很快填上之后，又挖出新的坑。走到这儿的时候，沟大幅值烧符阵法，你这个是不能够错过的，就是做错也要做做错也要做。所以在这边挖坑，这后面就是借势起来。
	你再看这个也是就为什么他能长得好，对吧？我就不说了N多遍创新药，说了N多遍创新药，我说主力刚做完第一波，对吧？这就是第一波，很明显第一波做完了。做完之后后面钩大复制对吧？都是大幅值的，这块设好止损，大幅值。人家还在接着这种图形不是百分百，我再说一遍，不是百分百，你得借势，整个市场都在轮这个才有可能。
	但是主力行为很明显，人家怎么着人也是挖坑。你看在这个位置，人现在顺势，人家顺势借借他妈的贸易战，人家挖一大坑出来，看见没有？人家实打实的挖一大坑。就是如果没有贸易战的事情，那他通过这两次拿的筹码看到这两次了吗？这两根儿是不是特别有规律？
	一般你是不是在图形里边很少见到有这么明显两根这么对称的特别报酬的放量的巨阴下来，是不是？那人这块儿就像我说的5000万，明白吗？就是你不要纠结说到底多少钱。我就是说刚才接那个例子，那个逻辑明没明白，这就是跟人搁这儿拿了5000万，你看从底下看这个筹码，看到没有？
	从这儿到这儿看了，通过这一波，人拿了5000万，拿完5000万以后，在这个位置人家就等机会说人这也放量，1234，你看是不是放量了，人砸一下。这块又连续几根又砸一下，在这一直反复洗，但可能是筹码还是不够，洗不下去，正好顺势借着那根贸易战，借着贸易战来一根，我操开心的不得了，这叫什么？就是下雨就能地上捡到伞，就能捡到伞。所以你看他跟这扒下来了，下来之后一路缩量，看到没有？就是量非常小就能回来。
	为什么筹码都在他这儿，但他这波是收集最后的筹码，当时这边不交的人，为什么散户也说了，你还洗谁呢，对不对？你又没破位，我跟这儿好好的，在区间内你还洗谁呢？你洗不走我，对不对？然后他再借这一波，我操你们叫你还不走，这波全吓走了，放量你看底下放量全下走了，交出筹码，吃了我的给我吐出来，喝了我的也给我吐出来。
	这招就他妈就后面这一波是肯定是他最后就快速收集筹码，连续放量要放量放量，连续放量，放量之后，突然间就缩量。然后这边也是一个放量下跌，但是跟前面那个比量非常小。你看到这儿洗到这儿的时候，-7.36到这位置时候非常漂亮，干净的不得了。同时也看的筹码是不是进一步增多了，对吧？那说它的成本是多少？它的成本这块就是这样往下还砸了一下，所以他成本就是在这儿29.57块。
	你只要不是这儿干了一个亿，咱就说你不是你不是他妈这儿干了一个亿，我妈过你一个账户干了5000万，人家不理你，人家不理你，就这位置，刚才说这是那第二种，对不对？就是说第第第第三种，就是你你你帮他锁了吗？也可以，你只要别跟着推那个当天成交量总共才8800万，你别说你一个人买了5000万，买了1000万，我在那就太闹了，所以知道为什么我我这两个票，一个是那个那个雪王跟娜娜，我仓位不多，我这不敢买多了，明白吧？我这仓位不多，非非非常少。在我整体的仓位里边，就在你这位置没法买多。整个他每天8800万进来的所有人账户，他的几乎都都知道是谁了。所以在这位置进去之后，后面很明显它成本就是22 29，所以这波是主升，看这波是主升，主升到这儿，再起。有人说这是4分之1量线，扯淡。
	再说一遍，不是所有这玩意儿叫4分之1量线，只在这个位置叫4分之3音量线，就是他铺的关键位置，比如到这儿前点在这儿，这根要他铺了，后面你妈的没有出现四分阴阳线，然后起来了这根这根它铺了这根四分阴阳线像不像？像。所以说你如果说这边你只能判断这根是这根儿是啊说你就这根儿走了不臭没问题，说明人家起码洗的就是你，但是这也不标准，所谓的就是这种长阳特步之后，后面那根接一个，那才叫四分阴阳线。然后后面这边主升29，29，那他至少先翻倍，那就五十八，到58我觉得这个后面可能再冲一个往上冲一个，冲一新高，冲1 58、60，他就可以开始琢磨出货了。在这块它的成本是大概29，先翻倍，先看翻倍，看翻倍就是三就是60。没准，他妈冲冲一个六十出来，然后开始放巨量八结束这一波，后面看还有没有人了，所以这就是一个短平快，他最多就是在这个位置有计划了，他可能听到消息说又马上临床二期，这块接接顺势砸一坑，砸一坑出来，快速抢筹，最后的筹码作为收集趴在一起坑仔主生结束，所以这块明没明白？就是挖坑找坑的，别找那种直直的增，就给你蹬一根，不要不要那么着啊不要那么找。所以这就是。
	大A. 
	下去你才能上来。不要期望他从20直接到40，先从20到10块，十块再到20也是翻倍，明白吗？就是20到40也是翻倍，也是百分百，十块到20也是百分百。但是十块到20对于麒麟汇来讲，它的资金整个的成本要缩减一半。但对他来讲，整个的资金的利用率就会更高，所以这个不用太在意说是不是有绝对的涨幅，那是不一样的。
	所以说一定要记住，要放弃向上幻想，专注挖坑跟填坑，大A下去你才能上来。所以后面不要关注大盘什么时候3500、3600、3700了，就是我需要关注大盘3500、3600、3700，所以我就是等，所以我拿去不动。所以对于你们来讲，你们如果说不是说跟我一样拿去不动的，你们在在做原始积累的，你们要在只要不下冰雹，说只要今天不是七八级大风，不下冰雹，也没有什么什么龙卷风，或者也就是你只要能出海打渔，就控制仓位打鱼就完了。明白这意思吗？
	就是不要天天跟着外面去骂，什么时候我再说一遍，如果真的今年马上说一个月3600到4000了，就3300 3400到4000了。你后面半年不好挣钱，真的不好挣，真的不好挣了，太贵了，到时候扒拉什么都挺贵的，因为都是直给蹬起来，那一根就很麻烦，你知道吗？所以这也是为什么当时我说924的时候，我说咱家老粉，924的时候我说这一波其实跟咱没关系，其实它捣乱了。
	所以为什么924那波迪迪没涨，对吧？然后当时名字也没长，或者说您那个谁那个那个名儿也没长，对吧？当时咱拿的米儿，名儿也没没没也没有长，就跟咱其实没关系，因为咱们的那个票的麒麟会人有人家的运作方式。但是你这八他妈忽如一夜春风来，我操，直接就跟这突然间扔就起来了，你看到没有？扔就起来了，我这就很麻烦了，跟咱没关系。其实。
	所以你看当时这是924，924很讨厌。本来有咱有自己的节奏，在这位置人家不想做拉升，你直接攻击外盘给怼进来了是吧？然后后面咱就去洗，就像当时说到220，到260，结果到262，是吧？我你们这个就我这个记一辈子，最后到262。
	当时我说到260，最后到262。你看所以说当时别人在赚钱时候，你们天天问迪迪，就跟你们现在天天问赛赛一样，是吧？你天天问赛赛，今天问迪迪，那最后人毕竟会汇报。直接从这块260 262到416翻翻，是不是？你说慢吗？不卖。对我是说240到260，对吧？人262怎么了？有问题吗？
	哥们儿，这是艺术。咱们说回来，所以这块插一段再再接着再接着说，就是说建仓、洗盘、拉升出货。这里边建仓是很容易的，洗盘也不难，往下砸就行，拉升要等待时机。建仓这块给你们讲，这是初坑。填坑，洗盘是挖小坑。拉升。天时地利人和出货。找对手盘，所以要记住这个。
	这个一定要有一个概念，一定要有概念。然后往下建仓阶段，一般是从低位连续上涨，在这个期间基本上对于咱们外盘来讲没有什么介入机会。因为是刚才咱们讲了，说这个他妈压在坑里。
	说这他妈在坑里看图，你完全看不出任何，你看什么你也不可能买这玩意儿，五千多个票，你他妈不可能买这玩意儿，对吗？你这你怎么挑也挑不出来，什么依据，对吧？就是一抛妻，你们当时股灾完都是一抛妻，你们毫无依据。所以说这波你是不可能能够赚到这波钱的这是不可能的。但恰恰这波是他最后的一个建仓抢筹的一个关键时期，恐慌之后给点阳线，这帮孙子全卖了，给点阳线这帮孙子就全卖了，所以这波你是不可能赚到钱的。
	没有就没有任何一个理论依据说你能赚到这波钱。反正十八般武器没有这种，没有说他妈通过这玩意儿能能能能能能赚能赚到钱的。如果你赚到了，你要么是这儿，然后你被套，你被动拿到这儿，你可能也卖了。
	一看就我操放量前面有一个上影线，但是你很难在这个位置说跟进去，这不可能的。深水炸弹是吧？深水炸弹，那你看它是不是水水弹，ADX吗？这儿啪一拐头，还真是从这儿到这儿，但是这拐头太微弱了。我再说一遍，你看有个紫色，太微弱了。当天也是5000个票，得有4000个票是这个玩意儿，你知道吗？这太微弱了，你这个没有依据的，甚至炸弹也炸不出来。跟你讲。所以这就就是刚才咱们说的第一波，这个建仓阶段一般是从低位连续上涨，没有介入机会，没有介入机会。
	但是在这个阶段持仓会持续增加，就麒麟会的持仓会持续增加，持仓会持续增加。看见没有然后说你们没有这个指标，看macd连续出现出现连续阳阳线起来，从坑里出坑，填坑出坑的这个动作配合MCMACD，你无论看地府白线，你还是看这个红柱，就是等于说是到水上了，macd白线到水上了，D到水上了，白线到水上了，到零轴线上同时翻红，再配合这个，再配合看是不是逐渐放量的，你就知道这个是。有人来了在建仓，说另外一个案例是什么？是咱们之前说了去年翻番创新高，对吧？我当时反复的咱们在聊说阿信LYD，这是当时的七月份说跌到这儿一抛期下来没有任何依据，你能建仓没有依据。然后无论是里边的机构资金还是启动会还是什么都在走，没有什么依据。无非说你要做左侧，你要做做你要做左侧就是你就信阿信，你觉得他就牛逼，你就做左侧。那那你就那左侧你就得在周线的这个位置不断买，就跟他妈的队长那图似的，是吧？
	但是说有多少人对阿信有有这种信仰呢？这不好说。所以从坑里起来，他不挖一这么大坑吗？从坑里起来，就这个坑这个坑里坑里起来，连续小羊看到了吗？连续小羊推升开门到这儿了，看到了吗？
	连续放量像不像刚才的那个娜娜那个图像不像挖坑，只是娜娜那图是这么多根儿，这么多根合并成了一根大阴线，合并成了一根大阴线，但是到这个位置来拉连续放量，你们没有这个指标，看不出这后面这个一个动作的时候，你能看到macd，dif是白线上到零轴以上同时分红，什么macd这就是macd。这哥们儿这就不用解释了，这就这就不咱咱咱就你查一下，你问问一下deep这个哥们儿，百度也行，然后嘣就他妈就起来了。所以说咱们这块强调说在这一般建仓阶段，你没有介入机会，对吧？你这是不可能跟着任何一个位置去买，这不吹吹牛逼吗？你这没有毫无依据。但是启动会的仓位会持续增加，同时MCD绿变红，记住绿变红。
	然后同时dif白线上到零轴以上OK，然后延后，注意看后面他开始洗盘了，看到了没有？我操开始洗了，开始洗盘，到这儿为止勾到大负值0.87，0.87对阿信来讲已经大负值了。这他妈是不是就非常像娜娜了，是不是像娜娜了？苏亮对吧？然后大阴线屁滚尿流，这就是建完仓以后洗。但是因为是阿信，当时是1500多，1800多小2000亿的盘子，光靠这个动作不可能拿到足够多的筹码，不可能的，所以顶多这位置洗完之后再上来一根儿。但一般讲大盘会有反复，因为盘子太大了，这几根建不完仓。
	但是在反复的过程当中，看见了吗？这个位置阴阴阳阳毫无规律，你没法判断它是是到底是他妈每根K线是什么，判断不了，因为是随机，你只能判断一个它一个区间往下一滑18块，往往上一卡19.45块，你只能这位置就是非常随机，但是你会看到这个位置，看了吗？就是这个位置至少有人在买，基金会一直在买，看到了吗？一直在买，但是每天阴阴阳阳你分不清逻辑。就是这位这位置跟你们现在问我那个赛赛怎么样赛赛怎么样，赛赛怎么样？在这期间，你说他妈有什么可分析的吗？
	有什么问题吗？
	吧？他横盘期间他妈在这拿筹码。红肥绿瘦看到了吗？红肥绿瘦红肥绿瘦看到了吗？
	红肥绿瘦红肥绿瘦看到了吗？你无非就在这儿，这个也是完成建仓，因为它比它大盘比较复杂，所以这边建仓时间会稍微多一些。所以跟着一直你看看，注意看红线，还是这个价位，18.6块还是18.6块，当时18.6块是在这儿，仓位现在18.6块已经到这儿了，对不对？再走，看到没有？可以说他妈完全乱七八糟，乱七八糟。但是这两个应该是缩量的，看是不是缩量的。你看一般十字星就是缩量，在建建完仓之后，差不多的时候，等于说这位置他这儿洗一下，然后拿洗拿在这位置。但是仓位你看人家一直在买，一直在买，因为盘子比较大，突然间崩启动，这他妈是有依据的，就说这玩意儿你进来是有依据的。当天他扑你们很多人给我发后台私信说那个阿信是LYD了阿信LID了。
	所以你看来了来了。
	来了来了来了来了来了来了。然后记住到这一天，咱们当中这个叫什么？这叫什么？这叫顶部大风车放天亮，这他妈绝逼天亮了，天亮了。然后非常标准的螺旋桨，对吧？顶部大风车。
	对于阶段性来讲，这波赚的钱就可以下车了。然后同时这波主力很多券商自营的盘，券商自营盘在这位置也完成了交换。而这位是谁买的？跟你讲很多公墓，很多公墓，因为当天当时在秒板的时候，王宝秒版的时候都是大单秒的。你看这他妈都是BB他妈999万，他妈都都大单，他妈不是散户，虽然撮合的，但也不散户不可能在这位置追。
	我跟你讲一遍，这儿出了一部分货，对吧？没有完全出去，没出去。但是为什么说指标还往上走？因为这位置是大单换手，记住这是大单换手。公募哥也是大哥，公募哥不是麒麟会，但公募哥他妈比麒麟会还有钱，谁有钱的？所以看整体仓位，实际上大资金还是仓位往往上走的，所以这位置只能讲是麒麟会在这位置完成了一个换手。
	但是新大哥进来了，但是跟他们说大哥进来是机构是应该站岗的，但是别着急，这辈子他出不完货，这辈子出不完货，因为盘子大。再说一遍，然后回来当时你们很多人，我说做第二波是不是就对上了？勾大负值-4，负负四了，今天负四了，勾大赋值对吧？
	当时你们很多人次新粉是这块赚的钱，包括恒恒也是是你们是这块第一次次新粉，老粉是赚的这波的钱，次新粉是赚的。第二波对上了是吧？没错是吧？对通了是吧？
	是这儿赚的钱，这赚钱为什么？因为这波人进来，人啊人他妈也是大钱。虽然说老的麒麟会已经走了一部分了，但是他妈也走不完。但是同时又进来新的市场上钱了，他怕踏空，机构怕踏空，人证也进来了，所以有一定锁仓，所以你看现在这是缩量了，连续下来是不是连续缩量，那你这第一进没毛病，然后就来你看人进来，人得干事情，得干事情，仓位还在上，看到吗？仓位还在上，因为这块很多人看好踏空的，他妈的还在进，还在上，所以最终顺势你看完全顺势突破创新。然后又放一个量，这天。
	见顶。见顶之后很多人不信，还在增仓，看到没有？还在买呢？还在买，还在吗？我的鼠标怎么回事？还在买，看到没有？还在买，所以它它跌不下去，看到了吗？还在买，所以跌不下去，跟这儿要一直扛。因为很多人相信中国牛逼了。
	4000点，当时就是9000点甚嚣尘上，对吧？就他妈6000点9000点就来了，所以这边他妈公墓还在买散户拖不动了，公募还在买，还在买，然后一直到九天破位，看到没有谁？我觉得要么是这波进来的一些聪明的钱私募，或者是一些什么聪明的，或者一些老的其他的麒麟会，或者是这波自营盘的最后的尾盘砸盘，库库一砸，看见没有？这叫什么？开始就开始分析了，分级了，分级了，所以反弹不上去分级了。分歧，一直就分歧了，看到没有分歧了，分歧了完了熄火。熄火就没法形成合力了，就算反弹上去，你看也他妈拉起来卖，每次拉起来。
	都是在卖。
	熄火。说这不就是赛赛吗？哥我操，踏踏实坐那别说话，哥们别说话好吗？踏踏实实看，一切都有答案。所以这就为什么南帝北丐北丐不行了，对吧？
	所以为什么南帝就来了呢？为什么南帝就来了呢？是不是咱们当时说为什么第一波发财他上不去，为什么他他上不去？我当时跟你讲了，我说把咱明显麒麟会这他妈的没建好仓，他很被动，就这波起来他妈他很被动。
	你看在人家赛在七月份在这儿七月份人在这波建仓的时候，他在干嘛？他妈里边麒麟会还在卖，明白吧？就是因为阿信在涨，等于说这个板块它会往上走，往上走的话，就会大家就会追这个板块。散户追上去之后，这波是赛赛建仓的。
	不，这什么赛赛阿信，这波是阿信建仓的图。刚才你们看到了人在往上建加仓，他们还在卖，看见了吗？所以他之前他们说明发展他在南方离中央比较远，他没得到信儿，他是一点消息都没有，所以他的发展其中会踏空了。对他他妈他他没没消息，有点闭塞。海南跟你讲公海比较闭塞。
	所以你看这儿他妈人家在人家阿信跟这横着洗盘，人家他妈要奔新低去，你看到了吗？要奔新低去，结果阿信一启动，就这阿信一启动，他跟着起来了，来一波再说这一波是外盘，这波就是他妈傻傻外盘，大大资金给埋起来了，完全傻外盘。所以他妈就熄火，它就熄火。
	但是咱们说人毕竟人家是人家牛逼。我操，我说闭塞不是人真闭，人再闭塞也比咱们消息灵通1万倍。哥们儿你听话听音感受行吗？哥们儿感受，人第一波没赶上热乎的那人家是不是得琢磨吃第二波？所以你看人家是不是一直在加仓呢？对吧？
	人家一直在加仓，所以这个图形是不是刚才阿信已经从最高点到这个位置了。那么说为什么发仔是不动的呢？为什么发仔横着的呢？为什么发仔没有从什么什么18块这个平台一下降到12这个平台像阿信一样呢？这就在于这不有人在建仓的，对吧？在建仓的。
	那说为什么这波有人在加仓呢？那不是因为是有人在搞他妈的。这个玩意儿对不对？人在搞这个玩意儿，然后就像有人问说为什么港股的发展比他们大A的发财要硬很多？是因为人家当时这个就没创新高人现在只是回到前次新高的这个点位，他这是挖了一个坑人在填坑。所以这波你没有什么依据是能赚到钱的，明白吗？
	所以你再回看这儿高点，次次高点的时候，咱们大A是创新高的。你这一画这天那天涨停也是逼近这位置的。所以说并不存在说港股那边的发展就比大A的发展要好，而是咱们本身就比人家贵，人家再补涨一圈，我没宣踏踏实实的，咱没有任何推荐，咱再讲。这个案例，我只告诉你为什么他比阿信要强，是因为他的筹码在不断的集中，麒麟会在干事情。说回来，为什么我说你这个钱是赚不到的，我说今天你这个兴业的这钱你是赚不到的，因为这根他妈如如这个大海上的一叶孤舟，毫无依据。所以纯消息面刺激，纯消息面刺激来一根这个很突然，所以这个是你没有没有依据的，没有依据的，所以这块有没有明白？
	也就是说在建仓阶段，一般都是从低位连续上涨，没有借助机会。然后在洗盘阶段大跌，但仓位不减大跌，只是在那个平台上大跌，大跌，然后macd线上死叉，这个不用管，吸盘是什么呢？那你们都看得懂的。就这玩意儿大跌看起来很看起来很害怕，对不对？屁滚尿流。但是仓位不减，你要看到macd也是虽然说死叉了，但依然线上。Macd就三个用法，一看背离，二看白线穿越零轴，三是它只要白线在零轴以上，你都可以把它当成一个多头控盘的趋势就可以。所以你看这就是连续洗盘大跌，但是仓位线不降。
	那么你们没有这个红红的这个判断的话，你就看MACD，MACD只要他妈的白线不跌破零轴就没什么问题。MAC在哪下载？兄弟哪儿都有，这是一个标配的。你在软件里面点macd就出来了。
